frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24748396452,12,28,360,267.213,23
1,24748444512,6,10,80,16.370,23
2,24748462732,6,16,1,0.000,23
3,24748524166,6,10,1,0.000,25
4,24748564858,6,10,1,0.000,25
5,24748604036,6,10,1,0.000,25
6,24748626356,6,10,1,0.000,25
7,24748664639,6,10,1,0.000,25
8,24748703267,6,10,1,0.000,25
9,24748742653,6,10,1,0.000,25
10,24748782463,6,10,1,0.000,25
11,24748822576,6,10,1,0.000,25
12,24748862675,6,10,1,0.000,25
13,24748903742,6,10,1,0.000,25
14,24748942565,6,10,1,0.000,25
15,24748982819,6,10,1,0.000,25
16,24749022504,6,10,1,0.000,25
17,24749044010,6,10,1,0.000,25
18,24749082798,6,10,1,0.000,25
19,24749126944,6,10,1,0.000,25
20,24749162983,6,10,1,0.000,25
21,24749203499,6,10,1,0.000,25
22,24749242876,6,10,1,0.000,25
23,24749282736,6,10,1,0.000,25
24,24749323507,6,10,1,0.000,25
25,24749363179,6,10,1,0.000,25
26,24749383229,6,10,1,0.000,25
27,24749423082,6,10,1,0.000,25
28,24749463310,6,10,1,0.000,25
29,24749503027,6,10,1,0.000,25
30,24749543344,6,10,1,0.000,25
31,24749583530,6,10,1,0.000,25
32,24749624015,6,10,1,0.000,25
33,24749662722,6,10,1,0.000,25
34,24749705924,6,10,1,0.000,25
35,24749743554,6,10,1,0.000,25
36,24749783526,6,10,1,0.000,25
37,24749823303,6,10,1,0.000,25
38,24749863538,6,10,1,0.000,25
39,24749902895,6,10,1,0.000,25
40,24749942875,6,10,1,0.000,25
41,24749982694,6,10,1,0.000,25
42,24750022680,6,10,1,0.000,25
43,24750063396,6,10,1,0.000,25
44,24750103024,6,10,1,0.000,25
45,24750143289,6,10,1,0.000,25
46,24750184106,6,10,1,0.000,25
47,24750223028,6,10,1,0.000,25
48,24750264576,6,10,1,0.000,25
49,24750302695,6,10,1,0.000,25
50,24750343436,6,10,1,0.000,25
51,24750383921,6,10,1,0.000,25
52,24750425727,6,10,1,0.000,25
53,24750463639,6,10,1,0.000,25
54,24750503690,6,10,1,0.000,25
55,24750543224,6,10,1,0.000,25
56,24750583118,6,10,1,0.000,25
57,24750623708,6,10,1,0.000,25
58,24750663136,6,10,1,0.000,25
59,24750703943,6,10,1,0.000,25
60,24750743046,6,10,1,0.000,25
61,24750783383,6,10,1,0.000,25
62,24750822765,6,10,1,0.000,25
63,24750863519,6,10,101,88.046,25
64,24750903909,6,10,1,0.000,25
65,24750947128,6,10,1,0.000,25
66,24750986054,6,10,1,0.000,25
67,24751025213,6,10,1,0.000,25
68,24751062868,6,10,1,0.000,25
69,24751105346,6,10,1,0.000,25
70,24751143719,6,10,1,0.000,25
71,24751184817,6,10,1,0.000,25
72,24751224264,6,10,1,0.000,25
73,24751264060,6,10,1,0.000,25
74,24751303695,6,10,1,0.000,25
75,24751343799,6,10,1,0.000,25
76,24751382859,6,10,1,0.000,25
77,24751423453,6,10,1,0.000,25
78,24751462832,6,10,1,0.000,25
79,24751504111,6,10,1,0.000,25
80,24751543100,6,10,1,0.000,25
81,24751583325,6,10,1,0.000,25
82,24751622861,6,10,1,0.000,25
83,24751663463,6,10,1,0.000,25
84,24751702695,6,10,1,0.000,25
85,24751742671,6,10,1,0.000,25
86,24751784030,6,10,1,0.000,25
87,24751823262,6,10,1,0.000,25
88,24751864110,6,10,1,0.000,25
89,24751903976,6,10,1,0.000,25
90,24751943909,6,10,1,0.000,25
91,24751985091,6,10,1,0.000,25
92,24752023329,6,10,1,0.000,25
93,24752062896,6,10,1,0.000,25
94,24752102478,6,10,1,0.000,25
95,24752142801,6,10,1,0.000,25
96,24752182562,6,10,1,0.000,25
97,24752224012,6,10,1,0.000,25
98,24752263016,6,10,1,0.000,25
99,24752302881,6,10,1,0.000,25
100,24752343323,6,10,1,0.000,25
101,24752384052,6,10,1,0.000,25
102,24752423629,6,10,1,0.000,25
103,24752463932,6,10,1,0.000,25
104,24752502935,0,0,0,0.000,0
105,24752542900,6,10,1,0.000,25
106,24752583037,6,10,1,0.000,25
107,24752623130,6,10,1,0.000,25
108,24752662762,6,10,1,0.000,25
109,24752702518,6,10,1,0.000,25
110,24752742589,6,10,1,0.000,25
111,24752783248,6,10,1,0.000,25
112,24752822843,6,10,1,0.000,25
113,24752862767,6,10,1,0.000,25
114,24752905074,6,10,1,0.000,25
115,24752942841,6,10,1,0.000,25
116,24752963690,6,10,1,0.000,25
117,24753003411,6,10,1,0.000,25
118,24753043526,6,10,1,0.000,25
119,24753083928,6,10,1,0.000,25
120,24753122820,6,10,1,0.000,25
121,24753163030,6,10,1,0.000,25
122,24753202795,6,10,1,0.000,25
123,24753243292,6,10,1,0.000,25
124,24753282919,6,10,1,0.000,25
125,24753322522,6,10,1,0.000,25
126,24753363172,6,10,1,0.000,25
127,24753402831,6,10,1,0.000,25
128,24753442674,6,10,1,0.000,25
129,24753483065,6,10,1,0.000,25
130,24753523260,6,10,1,0.000,25
131,24753563008,6,10,1,0.000,25
132,24753602690,6,10,1,0.000,25
