frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24716775025,12,19,260,161.506,7
1,24716811024,6,14,1,0.000,7
2,24716858159,6,9,1,0.000,15
3,24716888684,6,9,1,0.000,15
4,24716909180,6,9,1,0.000,15
5,24716929392,6,9,1,0.000,15
6,24716948876,6,9,1,0.000,15
7,24716969125,6,9,1,0.000,15
8,24717010612,6,9,1,0.000,15
9,24717028929,6,9,1,0.000,15
10,24717052632,6,9,1,0.000,15
11,24717072520,6,9,1,0.000,15
12,24717096333,6,9,1,0.000,15
13,24717128300,6,9,1,0.000,15
14,24717153827,6,9,1,0.000,15
15,24717171767,6,9,1,0.000,15
16,24717191555,6,9,1,0.000,15
17,24717228611,6,9,1,0.000,15
18,24717250717,6,9,1,0.000,15
19,24717271072,6,9,1,0.000,15
20,24717288624,6,9,1,0.000,15
21,24717310658,6,9,1,0.000,15
22,24717328789,6,9,1,0.000,15
23,24717348459,6,9,1,0.000,15
24,24717368476,6,9,1,0.000,15
25,24717390737,6,9,1,0.000,15
26,24717408916,6,9,1,0.000,15
27,24717430649,6,9,1,0.000,15
28,24717449173,6,9,1,0.000,15
29,24717470015,6,9,1,0.000,15
30,24717489098,6,9,1,0.000,15
31,24717511353,6,9,1,0.000,15
32,24717528685,6,9,1,0.000,15
33,24717550372,6,9,1,0.000,15
34,24717588865,6,9,1,0.000,15
35,24717609031,6,9,1,0.000,15
36,24717630404,6,9,1,0.000,15
37,24717648497,6,9,1,0.000,15
38,24717669765,6,9,1,0.000,15
39,24717688974,6,9,1,0.000,15
40,24717710727,6,9,1,0.000,15
41,24717728833,6,9,1,0.000,15
42,24717769131,6,9,1,0.000,15
43,24717789881,6,9,1,0.000,15
44,24717811286,6,9,1,0.000,15
45,24717828779,6,9,1,0.000,15
46,24717849457,6,9,1,0.000,15
47,24717869815,6,9,1,0.000,15
48,24717909390,6,9,1,0.000,15
49,24717931386,6,9,1,0.000,15
50,24717948464,6,9,1,0.000,15
51,24717969241,6,9,1,0.000,15
52,24717989919,6,9,1,0.000,15
53,24718010538,6,9,1,0.000,15
54,24718030467,6,9,1,0.000,15
55,24718048985,6,9,1,0.000,15
56,24718071501,6,9,1,0.000,15
57,24718088473,6,9,1,0.000,15
58,24718110669,6,9,1,0.000,15
59,24718129048,6,9,1,0.000,15
60,24718151357,6,9,1,0.000,15
