frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24690547376,17,19,73,127.106,7
1,24690572373,6,9,247,140.005,7
2,24690598300,6,14,1,0.000,7
3,24690659478,6,9,1,0.000,15
4,24690692543,6,9,1,0.000,15
5,24690713980,6,9,1,0.000,15
6,24690733366,6,9,1,0.000,15
7,24690772022,6,9,1,0.000,15
8,24690792827,6,9,1,0.000,15
9,24690813366,6,9,1,0.000,15
10,24690837706,6,9,1,0.000,15
11,24690878122,6,9,1,0.000,15
12,24690912990,6,9,1,0.000,15
13,24690933980,6,9,1,0.000,15
14,24690972769,6,9,1,0.000,15
15,24691011900,6,9,1,0.000,15
16,24691032968,6,9,1,0.000,15
17,24691072066,6,9,1,0.000,15
18,24691092013,6,9,1,0.000,15
19,24691112515,6,9,1,0.000,15
20,24691151843,6,9,1,0.000,15
21,24691192391,6,9,1,0.000,15
22,24691212562,6,9,1,0.000,15
23,24691252816,6,9,1,0.000,15
24,24691292443,6,9,1,0.000,15
25,24691312194,6,9,1,0.000,15
26,24691332090,6,9,1,0.000,15
27,24691372422,6,9,1,0.000,15
28,24691412399,6,9,1,0.000,15
29,24691452660,6,9,1,0.000,15
30,24691492268,6,9,1,0.000,15
31,24691532409,6,9,1,0.000,15
32,24691552513,6,9,1,0.000,15
33,24691572284,6,9,1,0.000,15
34,24691611996,6,9,1,0.000,15
35,24691653077,6,9,1,0.000,15
36,24691692125,6,9,1,0.000,15
37,24691732618,6,9,1,0.000,15
38,24691772162,6,9,1,0.000,15
39,24691811614,6,9,1,0.000,15
40,24691851764,6,9,1,0.000,15
41,24691891811,6,9,1,0.000,15
42,24691931447,6,9,1,0.000,15
43,24691953301,6,9,1,0.000,15
44,24691972139,6,9,1,0.000,15
45,24692011814,6,9,1,0.000,15
46,24692051984,6,9,1,0.000,15
47,24692072057,6,9,1,0.000,15
48,24692092464,6,9,1,0.000,15
49,24692131788,6,9,1,0.000,15
50,24692171449,6,9,1,0.000,15
51,24692192811,6,9,1,0.000,15
52,24692212881,6,9,1,0.000,15
53,24692231726,6,9,1,0.000,15
54,24692252798,6,9,1,0.000,15
55,24692271771,6,9,1,0.000,15
56,24692293143,6,9,1,0.000,15
57,24692312044,6,9,1,0.000,15
58,24692332125,6,9,1,0.000,15
59,24692354288,6,9,1,0.000,15
60,24692372967,6,9,1,0.000,15
61,24692392053,6,9,1,0.000,15
62,24692413869,6,9,1,0.000,15
63,24692432009,6,9,1,0.000,15
64,24692452195,6,9,1,0.000,15
65,24692471449,6,9,1,0.000,15
66,24692492184,6,9,1,0.000,15
67,24692512730,6,9,1,0.000,15
68,24692532582,6,9,1,0.000,15
69,24692553060,6,9,1,0.000,15
70,24692572598,6,9,1,0.000,15
71,24692592276,6,9,1,0.000,15
72,24692611976,6,9,1,0.000,15
73,24692632040,6,9,1,0.000,15
74,24692652268,6,9,1,0.000,15
75,24692672739,6,9,1,0.000,15
76,24692692092,6,9,1,0.000,15
77,24692713340,6,9,1,0.000,15
78,24692735729,6,9,1,0.000,15
79,24692751649,6,9,1,0.000,15
80,24692773850,6,9,1,0.000,15
81,24692791695,6,9,1,0.000,15
82,24692815609,6,9,1,0.000,15
83,24692831810,6,9,1,0.000,15
84,24692852128,6,9,1,0.000,15
85,24692873040,6,9,1,0.000,15
86,24692891684,6,9,1,0.000,15
87,24692912625,6,9,1,0.000,15
88,24692932034,6,9,1,0.000,15
89,24692954312,6,9,1,0.000,15
90,24692973902,6,9,1,0.000,15
91,24692994649,6,9,1,0.000,15
92,24693011447,6,9,1,0.000,15
93,24693035184,6,9,1,0.000,15
94,24693051714,6,9,1,0.000,15
95,24693076545,6,9,1,0.000,15
96,24693092430,6,9,1,0.000,15
97,24693112948,6,9,1,0.000,15
98,24693132031,6,9,1,0.000,15
99,24693153518,6,9,1,0.000,15
100,24693172230,6,9,1,0.000,15
101,24693196546,6,9,1,0.000,15
102,24693212887,6,9,1,0.000,15
103,24693234700,6,9,1,0.000,15
104,24693252038,6,9,1,0.000,15
105,24693272820,6,9,1,0.000,15
106,24693291915,6,9,1,0.000,15
107,24693312856,6,9,1,0.000,15
108,24693333192,6,9,1,0.000,15
109,24693353658,6,9,1,0.000,15
110,24693372931,6,9,1,0.000,15
111,24693395897,6,9,1,0.000,15
112,24693411993,6,9,1,0.000,15
113,24693434580,6,9,1,0.000,15
114,24693453227,6,9,1,0.000,15
115,24693473338,6,9,1,0.000,15
116,24693492581,6,9,1,0.000,15
117,24693516203,6,9,1,0.000,15
118,24693532515,6,9,1,0.000,15
119,24693553881,6,9,1,0.000,15
120,24693573401,6,9,1,0.000,15
121,24693592196,6,9,1,0.000,15
122,24693612660,6,9,1,0.000,15
123,24693635046,6,9,1,0.000,15
124,24693652934,6,9,1,0.000,15
125,24693673551,6,9,1,0.000,15
126,24693692397,6,9,1,0.000,15
127,24693712498,6,9,1,0.000,15
128,24693734525,6,9,1,0.000,15
129,24693752938,6,9,1,0.000,15
130,24693772283,6,9,1,0.000,15
131,24693794028,6,9,1,0.000,15
132,24693812844,6,9,1,0.000,15
133,24693832036,6,9,1,0.000,15
134,24693851980,6,9,1,0.000,15
135,24693873530,6,9,1,0.000,15
136,24693892048,6,9,1,0.000,15
137,24693912189,6,9,1,0.000,15
138,24693932916,6,9,1,0.000,15
139,24693952294,6,9,1,0.000,15
140,24693972088,6,9,1,0.000,15
141,24693992041,6,9,1,0.000,15
142,24694012621,6,9,1,0.000,15
143,24694033200,6,9,1,0.000,15
144,24694053543,6,9,1,0.000,15
145,24694072166,6,9,1,0.000,15
146,24694091772,6,9,1,0.000,15
147,24694112063,6,9,1,0.000,15
148,24694131952,6,9,1,0.000,15
149,24694153039,6,9,1,0.000,15
150,24694172042,6,9,1,0.000,15
151,24694191738,6,9,1,0.000,15
152,24694214817,6,9,1,0.000,15
153,24694232898,6,9,1,0.000,15
154,24694255210,6,9,1,0.000,15
155,24694272746,6,9,1,0.000,15
156,24694292170,6,9,1,0.000,15
157,24694314648,6,9,1,0.000,15
158,24694332150,6,9,1,0.000,15
159,24694355741,6,9,1,0.000,15
160,24694375399,6,9,1,0.000,15
161,24694412904,6,9,1,0.000,15
162,24694432139,6,9,1,0.000,15
163,24694453813,6,9,1,0.000,15
164,24694472636,6,9,1,0.000,15
165,24694492252,6,9,1,0.000,15
166,24694516309,6,9,1,0.000,15
167,24694532426,6,9,1,0.000,15
168,24694554768,6,9,1,0.000,15
169,24694592065,6,9,1,0.000,15
170,24694612029,0,0,0,0.000,0
171,24694634506,6,9,1,0.000,15
172,24694652868,6,9,1,0.000,15
173,24694674956,6,9,1,0.000,15
174,24694692291,6,9,1,0.000,15
175,24694711763,6,9,1,0.000,15
176,24694733504,6,9,1,0.000,15
177,24694754508,6,9,1,0.000,15
178,24694773293,6,9,1,0.000,15
179,24694793383,6,9,1,0.000,15
180,24694812187,6,9,1,0.000,15
181,24694837076,6,9,1,0.000,15
182,24694852353,6,9,1,0.000,15
183,24694872296,6,9,1,0.000,15
184,24694894104,6,9,1,0.000,15
185,24694911962,6,9,1,0.000,15
186,24694933931,6,9,1,0.000,15
187,24694951882,6,9,1,0.000,15
188,24694972815,6,9,1,0.000,15
189,24694992331,6,9,1,0.000,15
190,24695016243,6,9,1,0.000,15
191,24695033018,6,9,1,0.000,15
192,24695053638,6,9,1,0.000,15
193,24695072357,6,9,1,0.000,15
194,24695092742,6,9,1,0.000,15
195,24695111769,6,9,1,0.000,15
196,24695133637,6,9,1,0.000,15
197,24695152611,6,9,1,0.000,15
198,24695174444,6,9,1,0.000,15
199,24695192663,6,9,1,0.000,15
200,24695215674,6,9,1,0.000,15
201,24695231699,6,9,1,0.000,15
202,24695252132,6,9,1,0.000,15
203,24695271566,6,9,1,0.000,15
204,24695292354,6,9,1,0.000,15
205,24695312337,6,9,1,0.000,15
206,24695331911,6,9,1,0.000,15
207,24695372477,6,9,1,0.000,15
208,24695391583,6,9,1,0.000,15
209,24695412781,6,9,1,0.000,15
210,24695451613,6,9,1,0.000,15
211,24695471552,6,9,1,0.000,15
212,24695494968,6,9,1,0.000,15
213,24695532222,6,9,1,0.000,15
214,24695574093,6,9,1,0.000,15
215,24695612081,6,9,1,0.000,15
216,24695651765,6,9,1,0.000,15
217,24695691503,6,9,1,0.000,15
218,24695715339,6,9,1,0.000,15
219,24695731800,6,9,1,0.000,15
220,24695753852,6,9,1,0.000,15
221,24695791666,6,9,1,0.000,15
222,24695812948,6,9,1,0.000,15
223,24695832660,6,9,1,0.000,15
224,24695872110,6,9,1,0.000,15
225,24695892233,6,9,1,0.000,15
226,24695913646,6,9,1,0.000,15
227,24695933035,6,9,1,0.000,15
228,24695952607,6,9,1,0.000,15
229,24695992841,6,9,1,0.000,15
230,24696012146,6,9,1,0.000,15
231,24696032854,6,9,1,0.000,15
232,24696052510,6,9,1,0.000,15
233,24696072850,6,9,1,0.000,15
234,24696091595,6,9,1,0.000,15
235,24696111763,6,9,1,0.000,15
236,24696132319,6,9,1,0.000,15
237,24696153628,6,9,1,0.000,15
238,24696171990,6,9,1,0.000,15
239,24696192707,6,9,1,0.000,15
240,24696213090,6,9,1,0.000,15
241,24696252226,6,9,1,0.000,15
242,24696271967,6,9,1,0.000,15
243,24696293914,6,9,1,0.000,15
244,24696331849,6,9,1,0.000,15
245,24696352938,6,9,1,0.000,15
246,24696373209,6,9,1,0.000,15
247,24696412340,6,9,1,0.000,15
248,24696432366,6,9,1,0.000,15
249,24696472074,6,9,1,0.000,15
250,24696492709,6,9,1,0.000,15
251,24696513337,6,9,1,0.000,15
252,24696533117,6,9,1,0.000,15
253,24696552619,6,9,1,0.000,15
254,24696571588,6,9,1,0.000,15
255,24696593149,6,9,1,0.000,15
256,24696614170,6,9,1,0.000,15
257,24696652463,6,9,1,0.000,15
258,24696692560,6,9,1,0.000,15
259,24696711708,6,9,1,0.000,15
260,24696731953,6,9,1,0.000,15
261,24696771621,6,9,1,0.000,15
262,24696792849,6,9,1,0.000,15
263,24696813040,6,9,1,0.000,15
264,24696854392,6,9,1,0.000,15
265,24696892128,6,9,1,0.000,15
266,24696912834,6,9,1,0.000,15
267,24696933867,6,9,1,0.000,15
268,24696953107,6,9,1,0.000,15
269,24696973474,6,9,1,0.000,15
270,24697012434,6,9,1,0.000,15
271,24697036059,6,9,1,0.000,15
272,24697053600,6,9,1,0.000,15
273,24697074019,6,9,1,0.000,15
274,24697092552,6,9,1,0.000,15
275,24697113771,6,9,1,0.000,15
276,24697134344,6,9,1,0.000,15
277,24697175094,6,9,1,0.000,15
278,24697212680,6,9,1,0.000,15
279,24697232510,6,9,1,0.000,15
280,24697252231,6,9,1,0.000,15
281,24697292624,6,9,1,0.000,15
282,24697332300,6,9,1,0.000,15
283,24697372764,6,9,1,0.000,15
284,24697412111,6,9,1,0.000,15
285,24697432037,6,9,1,0.000,15
286,24697452207,6,9,1,0.000,15
287,24697492959,6,9,1,0.000,15
288,24697532778,6,9,1,0.000,15
289,24697552256,6,9,1,0.000,15
290,24697571554,6,9,1,0.000,15
291,24697594567,6,9,1,0.000,15
