frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24570281330,32,11,59,5.190,27
1,24570345641,12,9,1,0.000,7
2,24570356444,6,9,1,0.000,7
3,24570376748,6,9,1,0.000,7
4,24570398369,6,9,1,0.000,7
5,24570415683,6,9,1,0.000,7
6,24570437097,6,9,1,0.000,7
7,24570456326,6,9,1,0.000,7
8,24570477735,6,9,1,0.000,7
9,24570498471,6,9,1,0.000,7
10,24570517145,6,9,1,0.000,7
11,24570536503,6,9,1,0.000,7
12,24570558184,6,9,1,0.000,7
13,24570577165,6,9,1,0.000,7
14,24570601106,6,9,1,0.000,7
15,24570620930,6,9,1,0.000,7
16,24570636361,6,9,1,0.000,7
17,24570655728,6,9,1,0.000,7
18,24570681284,6,9,1,0.000,7
19,24570696889,6,9,1,0.000,7
20,24570718836,6,9,1,0.000,7
21,24570735977,6,9,1,0.000,7
22,24570759363,6,9,1,0.000,7
23,24570776731,6,9,1,0.000,7
24,24570797236,6,9,1,0.000,7
25,24570815864,6,9,1,0.000,7
26,24570837180,6,9,1,0.000,7
27,24570856533,6,9,1,0.000,7
28,24570877305,6,9,1,0.000,7
29,24570896270,6,9,1,0.000,7
30,24570920119,6,9,1,0.000,7
31,24570935688,6,9,1,0.000,7
32,24570957634,6,9,1,0.000,7
33,24570976436,6,9,1,0.000,7
34,24571000410,6,9,1,0.000,7
35,24571018394,6,9,1,0.000,7
36,24571036950,6,9,1,0.000,7
37,24571056941,6,9,1,0.000,7
38,24571081094,6,9,1,0.000,7
39,24571101080,6,9,1,0.000,7
40,24571116592,6,9,1,0.000,7
41,24571137599,6,9,1,0.000,7
42,24571155811,6,9,1,0.000,7
43,24571179437,6,9,1,0.000,7
44,24571196883,6,9,1,0.000,7
45,24571215649,6,9,1,0.000,7
46,24571239546,6,9,1,0.000,7
47,24571258657,6,9,1,0.000,7
48,24571277041,6,9,1,0.000,7
49,24571296146,6,9,1,0.000,7
50,24571320902,6,9,1,0.000,7
51,24571336062,6,9,1,0.000,7
52,24571360522,6,9,1,0.000,7
53,24571376374,6,9,1,0.000,7
54,24571397202,6,9,1,0.000,7
55,24571415896,6,9,1,0.000,7
56,24571439348,6,9,1,0.000,7
57,24571455314,6,9,1,0.000,7
58,24571477527,6,9,1,0.000,7
59,24571495800,6,9,1,0.000,7
60,24571518759,6,9,1,0.000,7
61,24571535529,6,9,1,0.000,7
62,24571556550,6,9,1,0.000,7
63,24571575798,6,9,1,0.000,7
64,24571596661,6,9,1,0.000,7
65,24571616861,6,9,1,0.000,7
66,24571637887,6,9,1,0.000,7
67,24571655749,6,9,1,0.000,7
68,24571677215,6,9,1,0.000,7
69,24571695543,6,9,1,0.000,7
70,24571716537,6,9,1,0.000,7
71,24571736067,6,9,1,0.000,7
72,24571757350,6,9,1,0.000,7
73,24571776270,6,9,1,0.000,7
74,24571796966,6,9,1,0.000,7
75,24571816441,6,9,1,0.000,7
76,24571838191,6,9,1,0.000,7
77,24571855778,6,9,1,0.000,7
78,24571876689,6,9,1,0.000,7
79,24571896838,6,9,1,0.000,7
80,24571920920,6,9,1,0.000,7
81,24571937122,6,9,1,0.000,7
82,24571956882,6,9,1,0.000,7
83,24571977109,6,9,1,0.000,7
84,24571999899,6,9,1,0.000,7
85,24572018068,6,9,1,0.000,7
