frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24601578243,39,11,1,0.000,37
1,24601638111,12,12,59,5.904,7
2,24601681091,6,9,1,0.000,7
3,24601700772,6,9,1,0.000,7
4,24601720371,6,9,1,0.000,7
5,24601741169,6,9,1,0.000,7
6,24601760966,6,9,1,0.000,7
7,24601780860,6,9,1,0.000,7
8,24601800245,6,9,1,0.000,7
9,24601821135,6,9,1,0.000,7
10,24601843548,6,9,1,0.000,7
11,24601862049,6,9,1,0.000,7
12,24601883875,6,9,1,0.000,7
13,24601906986,6,9,1,0.000,7
14,24601920993,6,9,1,0.000,7
15,24601940615,6,9,1,0.000,7
16,24601960140,6,9,1,0.000,7
17,24601981555,6,9,1,0.000,7
18,24602000467,6,9,1,0.000,7
19,24602022038,6,9,1,0.000,7
20,24602041522,6,9,1,0.000,7
21,24602060197,6,9,1,0.000,7
22,24602081062,6,9,1,0.000,7
23,24602100945,6,9,1,0.000,7
24,24602123289,6,9,1,0.000,7
25,24602141280,6,9,1,0.000,7
26,24602161458,6,9,1,0.000,7
27,24602181641,6,9,1,0.000,7
28,24602200921,6,9,1,0.000,7
29,24602222967,6,9,1,0.000,7
30,24602240913,6,9,1,0.000,7
31,24602261430,6,9,1,0.000,7
32,24602280882,6,9,1,0.000,7
33,24602301580,6,9,1,0.000,7
34,24602320774,6,9,1,0.000,7
35,24602341088,6,9,1,0.000,7
36,24602360545,6,9,1,0.000,7
37,24602381387,6,9,1,0.000,7
38,24602400859,6,9,1,0.000,7
39,24602420440,6,9,1,0.000,7
40,24602440523,6,9,1,0.000,7
41,24602460264,6,9,1,0.000,7
42,24602479979,6,9,1,0.000,7
43,24602501176,6,9,1,0.000,7
44,24602520796,6,9,1,0.000,7
45,24602540820,6,9,1,0.000,7
46,24602560882,6,9,1,0.000,7
47,24602581653,6,9,1,0.000,7
48,24602600545,6,9,1,0.000,7
49,24602625149,6,9,1,0.000,7
50,24602640445,6,9,1,0.000,7
51,24602661126,6,9,1,0.000,7
52,24602680285,6,9,1,0.000,7
53,24602700802,6,9,1,0.000,7
54,24602720143,6,9,1,0.000,7
55,24602740223,6,9,1,0.000,7
56,24602762305,6,9,1,0.000,7
57,24602781064,6,9,1,0.000,7
58,24602803074,6,9,1,0.000,7
59,24602820196,6,9,1,0.000,7
60,24602841804,6,9,1,0.000,7
61,24602861985,6,9,1,0.000,7
62,24602880676,6,9,1,0.000,7
63,24602903780,6,9,1,0.000,7
64,24602923484,6,9,1,0.000,7
65,24602941298,6,9,1,0.000,7
66,24602960908,6,9,1,0.000,7
67,24602980809,6,9,1,0.000,7
68,24603001026,6,9,1,0.000,7
69,24603021026,6,9,1,0.000,7
70,24603041225,6,9,1,0.000,7
71,24603062460,6,9,1,0.000,7
72,24603080320,6,9,1,0.000,7
73,24603100506,6,9,1,0.000,7
74,24603120290,6,9,1,0.000,7
75,24603140442,6,9,1,0.000,7
76,24603160903,6,9,1,0.000,7
77,24603180309,6,9,1,0.000,7
78,24603201177,6,9,1,0.000,7
79,24603221170,6,9,1,0.000,7
80,24603244311,6,9,1,0.000,7
81,24603260513,6,9,1,0.000,7
82,24603281041,6,9,1,0.000,7
83,24603300427,6,9,1,0.000,7
84,24603323066,6,9,1,0.000,7
85,24603340406,6,9,1,0.000,7
86,24603360736,6,9,1,0.000,7
87,24603380286,6,9,1,0.000,7
88,24603400297,6,9,1,0.000,7
89,24603421239,6,9,1,0.000,7
90,24603440515,6,9,1,0.000,7
91,24603460082,6,9,1,0.000,7
92,24603481452,6,9,1,0.000,7
93,24603500645,6,9,1,0.000,7
94,24603522923,6,9,1,0.000,7
95,24603542515,6,9,1,0.000,7
96,24603560799,6,9,1,0.000,7
97,24603582784,6,9,1,0.000,7
98,24603600997,6,9,1,0.000,7
99,24603620105,6,9,1,0.000,7
100,24603640784,6,9,1,0.000,7
101,24603662184,6,9,1,0.000,7
102,24603680450,6,9,1,0.000,7
103,24603700318,6,9,1,0.000,7
104,24603722640,6,9,1,0.000,7
105,24603741178,6,9,1,0.000,7
106,24603761036,6,9,1,0.000,7
107,24603781928,6,9,1,0.000,7
108,24603800809,6,9,1,0.000,7
109,24603821278,6,9,1,0.000,7
110,24603841237,6,9,1,0.000,7
111,24603863390,6,9,1,0.000,7
