frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,24632843856,18,13,61,9.896,7
1,24632889898,6,9,1,0.000,9
2,24632903527,6,9,1,0.000,9
3,24632925951,6,9,1,0.000,9
4,24632946397,6,9,1,0.000,9
5,24632964859,6,9,1,0.000,9
6,24632986436,6,9,1,0.000,9
7,24633005668,6,9,1,0.000,9
8,24633027664,6,9,1,0.000,9
9,24633047576,6,9,1,0.000,9
10,24633066976,6,9,1,0.000,9
11,24633085448,6,9,1,0.000,9
12,24633104706,6,9,1,0.000,9
13,24633125945,6,9,1,0.000,9
14,24633143441,6,9,1,0.000,9
15,24633165227,6,9,1,0.000,9
16,24633183639,6,9,1,0.000,9
17,24633203602,6,9,1,0.000,9
18,24633226185,6,9,1,0.000,9
19,24633243382,6,9,1,0.000,9
20,24633266213,6,9,1,0.000,9
21,24633285236,6,9,1,0.000,9
22,24633303754,6,9,1,0.000,9
23,24633323295,6,9,1,0.000,9
24,24633343812,6,9,1,0.000,9
25,24633364567,6,9,1,0.000,9
26,24633383750,6,9,1,0.000,9
27,24633404125,6,9,1,0.000,9
28,24633423623,6,9,1,0.000,9
29,24633443345,6,9,1,0.000,9
30,24633463859,6,9,1,0.000,9
31,24633483854,6,9,1,0.000,9
32,24633503530,6,9,1,0.000,9
33,24633524203,6,9,1,0.000,9
34,24633543116,6,9,1,0.000,9
35,24633563531,6,9,1,0.000,9
36,24633584158,6,9,1,0.000,9
37,24633606109,6,9,1,0.000,9
38,24633624305,6,9,1,0.000,9
39,24633644637,6,9,1,0.000,9
40,24633664537,6,9,1,0.000,9
41,24633683567,6,9,1,0.000,9
42,24633703233,6,9,1,0.000,9
43,24633723492,6,9,1,0.000,9
44,24633743560,6,9,1,0.000,9
45,24633764805,6,9,1,0.000,9
46,24633784728,6,9,1,0.000,9
47,24633803416,6,9,1,0.000,9
48,24633824084,6,9,1,0.000,9
49,24633846452,6,9,1,0.000,9
50,24633863983,6,9,1,0.000,9
51,24633883143,6,9,1,0.000,9
52,24633903932,6,9,1,0.000,9
53,24633923467,6,9,1,0.000,9
54,24633944286,6,9,1,0.000,9
55,24633964259,6,9,1,0.000,9
56,24633984066,6,9,1,0.000,9
57,24634003483,6,9,1,0.000,9
58,24634026054,6,9,1,0.000,9
59,24634044333,6,9,1,0.000,9
60,24634063952,6,9,1,0.000,9
61,24634084514,6,9,1,0.000,9
62,24634103486,6,9,1,0.000,9
63,24634124688,6,9,1,0.000,9
64,24634144869,6,9,1,0.000,9
65,24634164093,6,9,1,0.000,9
66,24634185368,6,9,1,0.000,9
67,24634203524,6,9,1,0.000,9
68,24634223670,6,9,1,0.000,9
69,24634245926,6,9,1,0.000,9
70,24634263349,6,9,1,0.000,9
71,24634285124,6,9,1,0.000,9
72,24634304715,6,9,1,0.000,9
73,24634323367,6,9,1,0.000,9
74,24634345207,6,9,1,0.000,9
75,24634364043,6,9,1,0.000,9
76,24634384596,6,9,1,0.000,9
77,24634403923,6,9,1,0.000,9
78,24634427436,6,9,1,0.000,9
79,24634445544,6,9,1,0.000,9
80,24634466667,6,9,1,0.000,9
81,24634483924,6,9,1,0.000,9
82,24634503156,6,9,1,0.000,9
83,24634524542,6,9,1,0.000,9
84,24634542904,6,9,1,0.000,9
85,24634564018,6,9,1,0.000,9
86,24634584579,6,9,1,0.000,9
87,24634604337,6,9,1,0.000,9
88,24634623844,6,9,1,0.000,9
89,24634643702,6,9,1,0.000,9
90,24634666838,6,9,1,0.000,9
91,24634683473,6,9,1,0.000,9
92,24634704544,6,9,1,0.000,9
93,24634722913,6,9,1,0.000,9
94,24634744034,6,9,1,0.000,9
95,24634764010,6,9,1,0.000,9
96,24634788612,6,9,1,0.000,9
97,24634803038,6,9,1,0.000,9
98,24634824966,6,9,1,0.000,9
99,24634843825,6,9,1,0.000,9
100,24634864720,6,9,1,0.000,9
101,24634883665,6,9,1,0.000,9
102,24634903954,6,9,1,0.000,9
103,24634923338,6,9,1,0.000,9
104,24634943912,6,9,1,0.000,9
