frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,26913835033,17,9,0,0.000,22
1,26913855257,21,6,0,0.000,18
2,26913875368,87,20,140,86.210,48
3,26913895457,50,24,242,140.588,41
4,26913926223,50,29,257,126.853,41
5,26913966538,50,23,491,275.156,51
6,26914006848,50,24,406,253.454,51
7,26914048041,50,23,318,213.176,51
8,26914095029,50,23,323,224.053,51
9,26914135070,50,23,318,160.290,51
10,26914177433,50,23,300,180.336,61
11,26914214863,50,23,300,146.414,41
12,26914250346,56,23,297,180.624,52
13,26914288633,50,23,292,150.322,51
14,26914324138,50,23,290,200.925,51
15,26914359271,50,23,330,145.238,51
16,26914390356,50,23,330,134.702,41
17,26914425660,50,23,333,114.374,51
18,26914462040,50,23,330,127.539,51
19,26914504798,50,23,320,114.655,51
20,26914543185,50,23,295,150.445,51
21,26914582031,50,23,282,148.073,51
22,26914623306,50,23,281,146.665,51
23,26914662933,50,23,276,122.989,51
24,26914703671,50,23,306,135.016,51
25,26914743686,50,23,296,136.325,51
26,26914782338,50,23,271,130.645,51
27,26914822481,50,23,291,191.953,51
28,26914865135,53,23,291,152.515,53
29,26914904565,53,22,256,126.385,50
30,26914942934,50,23,291,148.724,51
31,26914983066,50,23,288,136.793,51
32,26915022681,50,23,251,120.736,51
33,26915062682,50,23,263,141.595,51
34,26915102647,50,23,252,161.290,51
35,26915141936,50,23,247,135.783,51
36,26915181713,50,23,260,158.306,51
37,26915222669,50,23,267,162.951,51
38,26915261769,56,23,257,169.531,52
39,26915301997,50,23,252,143.693,51
40,26915341626,50,23,262,171.797,51
41,26915382415,50,23,262,191.520,51
42,26915421773,50,23,262,148.901,51
43,26915462352,50,23,262,164.188,51
44,26915502696,50,23,267,172.326,51
45,26915541694,50,23,242,129.941,51
46,26915582209,50,23,252,155.335,51
47,26915622559,50,23,247,161.562,51
48,26915662181,50,23,244,155.035,51
49,26915702516,50,23,247,157.343,51
50,26915742132,50,23,247,134.617,51
51,26915781634,50,23,249,110.716,51
52,26915805359,50,23,246,119.615,41
53,26915827799,50,23,249,194.687,41
54,26915864929,53,23,244,133.013,53
55,26915901405,53,23,247,106.020,50
56,26915923209,50,23,252,118.487,41
57,26915963857,50,23,257,128.302,51
58,26915987848,50,23,281,130.831,41
59,26916022491,50,23,266,131.097,51
60,26916063617,50,23,279,136.693,51
61,26916104440,50,23,315,144.762,51
62,26916144440,50,23,293,130.239,51
63,26916182146,50,23,298,134.708,51
64,26916221296,50,23,293,149.387,51
65,26916260880,56,23,298,159.570,52
66,26916301300,50,23,340,176.858,51
67,26916341287,50,23,335,177.898,51
68,26916381289,50,23,335,169.063,51
69,26916421430,50,23,352,198.946,51
70,26916461348,50,23,352,178.724,51
71,26916501504,50,23,360,180.852,51
72,26916541276,50,23,300,141.850,51
73,26916581302,50,23,355,185.163,51
74,26916621322,50,23,305,168.965,51
75,26916662695,50,23,304,170.291,51
76,26916703722,50,23,307,168.999,51
77,26916741610,50,23,365,181.449,51
78,26916781455,50,23,310,189.284,51
79,26916823145,50,23,310,203.438,51
80,26916861020,53,23,360,188.667,53
81,26916901682,53,22,273,113.744,50
82,26916941553,50,23,318,165.125,51
83,26916981471,50,23,373,190.489,51
84,26917021500,50,23,318,164.880,51
85,26917061602,50,23,318,129.632,51
86,26917101597,50,23,368,151.342,51
87,26917141609,50,23,323,162.877,51
88,26917181583,50,23,315,140.525,51
89,26917221380,50,23,315,170.852,51
90,26917261229,56,23,315,174.865,52
91,26917301440,50,23,360,196.893,51
92,26917341898,50,23,360,150.749,51
93,26917381973,50,23,360,139.337,51
94,26917422754,50,23,360,151.959,51
95,26917463025,50,23,360,160.103,51
96,26917503837,50,23,365,155.523,51
97,26917541611,50,23,310,131.584,51
98,26917581768,50,23,360,147.733,51
99,26917621733,50,23,315,152.058,51
100,26917661720,50,23,310,148.514,51
101,26917701635,50,23,299,140.269,51
102,26917741376,50,23,351,167.171,51
103,26917781483,50,23,303,154.331,51
104,26917821652,50,23,298,143.765,51
105,26917861496,53,23,348,177.462,53
106,26917901476,19,19,365,172.789,35
107,26917943385,0,0,0,0.000,0
108,26917982930,50,23,310,137.883,71
109,26918023397,50,23,318,140.524,51
110,26918062902,50,23,373,144.974,51
111,26918103584,50,23,368,160.103,51
112,26918142932,50,23,318,138.999,51
113,26918182555,50,23,365,154.187,41
114,26918223116,50,23,305,163.194,61
115,26918262775,22,19,302,173.331,27
116,26918302726,16,19,292,138.569,36
117,26918342132,16,19,290,140.924,36
118,26918382769,16,19,330,157.745,36
119,26918423037,16,18,263,134.053,46
120,26918462280,50,23,290,171.594,41
121,26918502580,50,23,295,147.906,51
122,26918542598,50,23,290,140.254,51
123,26918583201,16,19,282,135.374,46
124,26918623836,16,19,281,138.475,36
125,26918663739,16,19,276,140.620,36
126,26918703357,16,19,306,189.974,36
127,26918741577,50,23,271,135.752,41
128,26918782518,50,23,276,139.518,51
129,26918823539,16,19,271,143.405,46
130,26918861890,53,23,271,153.002,43
131,26918901228,53,23,281,123.426,50
132,26918942744,50,23,296,139.672,51
133,26918982502,50,23,268,152.986,169
134,26919023095,50,23,251,132.612,61
135,26919062167,50,23,263,172.739,41
136,26919103229,50,23,252,134.992,61
137,26919141868,50,23,252,130.081,41
138,26919182453,50,22,247,224.551,51
139,26919222463,50,23,255,144.430,51
140,26919263646,56,23,272,147.841,62
141,26919301098,50,22,257,150.814,41
142,26919341520,50,23,262,144.872,51
143,26919381169,50,23,262,177.503,51
144,26919421428,50,23,267,150.249,51
145,26919461446,50,23,267,122.972,51
146,26919502132,50,23,267,129.880,51
147,26919541302,50,23,242,120.710,51
148,26919581595,50,23,252,110.349,51
149,26919621738,50,23,242,151.216,51
150,26919664047,50,23,252,155.374,61
151,26919703193,50,23,247,135.533,51
152,26919743649,50,23,247,136.398,51
153,26919784414,50,23,249,126.786,51
154,26919823643,50,23,244,134.963,51
155,26919863271,53,23,244,140.740,53
156,26919901579,53,23,249,154.763,40
157,26919941753,50,23,252,155.914,51
158,26919964705,50,23,257,103.173,51
