frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,7937117204,0,0,0,0.000,0
1,7937117204,0,0,0,0.000,0
2,7937117220,10,7,14,3.191,4
3,7937153884,0,0,0,0.000,0
4,7937153884,0,0,0,0.000,0
5,7937153909,4,6,11,2.990,4
6,7937169959,0,0,0,0.000,0
7,7937169959,0,0,0,0.000,0
8,7937169983,4,6,3,0.005,4
9,7937191232,0,0,0,0.000,0
10,7937191232,0,0,0,0.000,0
11,7937191258,4,6,3,0.003,4
12,7937210562,0,0,0,0.000,0
13,7937210562,0,0,0,0.000,0
14,7937210586,4,6,3,0.005,4
15,7937229987,0,0,0,0.000,0
16,7937229987,0,0,0,0.000,0
17,7937230012,4,6,3,0.003,4
18,7937250061,0,0,0,0.000,0
19,7937250061,0,0,0,0.000,0
20,7937250091,4,6,3,0.003,4
21,7937269976,0,0,0,0.000,0
22,7937269976,0,0,0,0.000,0
23,7937270010,4,6,3,0.003,4
24,7937290100,0,0,0,0.000,0
25,7937290100,0,0,0,0.000,0
26,7937290123,4,6,3,0.006,4
27,7937310244,0,0,0,0.000,0
28,7937310244,0,0,0,0.000,0
29,7937310274,4,6,3,0.006,4
30,7937330263,0,0,0,0.000,0
31,7937330263,0,0,0,0.000,0
32,7937330295,4,6,3,0.006,4
33,7937350146,0,0,0,0.000,0
34,7937350146,0,0,0,0.000,0
35,7937350165,4,6,3,0.005,4
36,7937370137,0,0,0,0.000,0
37,7937370137,0,0,0,0.000,0
38,7937370157,4,6,3,0.018,4
39,7937390316,0,0,0,0.000,0
40,7937390316,0,0,0,0.000,0
41,7937390347,4,6,3,0.016,4
42,7937410532,0,0,0,0.000,0
43,7937410532,0,0,0,0.000,0
44,7937410552,4,6,3,0.006,4
45,7937431591,0,0,0,0.000,0
46,7937431591,0,0,0,0.000,0
47,7937431627,4,6,3,0.008,4
48,7937453332,0,0,0,0.000,0
49,7937453332,0,0,0,0.000,0
50,7937453363,4,6,3,0.008,4
51,7937478622,0,0,0,0.000,0
52,7937478622,0,0,0,0.000,0
53,7937478643,4,6,3,0.006,4
54,7937489977,0,0,0,0.000,0
55,7937489977,0,0,0,0.000,0
56,7937489997,4,6,3,0.006,4
57,7937510220,0,0,0,0.000,0
58,7937510220,0,0,0,0.000,0
59,7937510252,4,6,3,0.005,4
60,7937530138,0,0,0,0.000,0
61,7937530138,0,0,0,0.000,0
62,7937530165,4,6,3,0.006,4
63,7937550106,0,0,0,0.000,0
64,7937550106,0,0,0,0.000,0
65,7937550131,4,6,3,0.006,4
66,7937570126,0,0,0,0.000,0
67,7937570126,0,0,0,0.000,0
68,7937570149,4,6,3,0.006,4
69,7937590117,0,0,0,0.000,0
70,7937590117,0,0,0,0.000,0
71,7937590140,4,6,3,0.005,4
72,7937610160,0,0,0,0.000,0
73,7937610160,0,0,0,0.000,0
74,7937610188,4,6,3,0.005,4
75,7937630154,0,0,0,0.000,0
76,7937630154,0,0,0,0.000,0
77,7937630178,4,6,3,0.007,4
78,7937650133,0,0,0,0.000,0
79,7937650133,0,0,0,0.000,0
80,7937650221,4,6,3,0.005,4
81,7937670167,0,0,0,0.000,0
82,7937670167,0,0,0,0.000,0
83,7937670190,4,6,3,0.006,4
84,7937690139,0,0,0,0.000,0
85,7937690139,0,0,0,0.000,0
86,7937690164,4,6,3,0.005,4
87,7937710128,0,0,0,0.000,0
88,7937710128,0,0,0,0.000,0
89,7937710153,4,6,3,0.006,4
90,7937730125,0,0,0,0.000,0
91,7937730125,0,0,0,0.000,0
92,7937730148,4,6,3,0.005,4
93,7937750099,0,0,0,0.000,0
94,7937750099,0,0,0,0.000,0
95,7937750124,4,6,3,0.005,4
96,7937770119,0,0,0,0.000,0
97,7937770119,0,0,0,0.000,0
98,7937770150,4,6,3,0.004,4
99,7937789972,0,0,0,0.000,0
100,7937789972,0,0,0,0.000,0
101,7937790008,4,6,3,0.003,4
102,7937809992,0,0,0,0.000,0
103,7937809992,0,0,0,0.000,0
104,7937810022,4,6,3,0.003,4
105,7937829973,0,0,0,0.000,0
106,7937829973,0,0,0,0.000,0
107,7937829996,4,6,3,0.005,4
108,7937849976,0,0,0,0.000,0
109,7937849976,0,0,0,0.000,0
110,7937850005,4,6,3,0.004,4
111,7937869997,0,0,0,0.000,0
112,7937869997,0,0,0,0.000,0
113,7937870031,4,6,3,0.004,4
114,7937890162,0,0,0,0.000,0
115,7937890162,0,0,0,0.000,0
116,7937890184,4,6,3,0.007,4
117,7937910142,0,0,0,0.000,0
118,7937910142,0,0,0,0.000,0
119,7937910159,4,6,3,0.007,4
120,7937930135,0,0,0,0.000,0
121,7937930135,0,0,0,0.000,0
122,7937930158,4,6,3,0.008,4
123,7937950160,0,0,0,0.000,0
124,7937950160,0,0,0,0.000,0
125,7937950181,4,6,3,0.006,4
126,7937970183,0,0,0,0.000,0
127,7937970183,0,0,0,0.000,0
128,7937970201,4,6,3,0.006,4
129,7937990139,0,0,0,0.000,0
130,7937990139,0,0,0,0.000,0
131,7937990161,4,6,3,0.007,4
132,7938010212,0,0,0,0.000,0
133,7938010212,0,0,0,0.000,0
134,7938010239,4,6,3,0.006,4
135,7938030137,0,0,0,0.000,0
136,7938030137,0,0,0,0.000,0
137,7938030161,4,6,3,0.007,4
138,7938050114,0,0,0,0.000,0
139,7938050114,0,0,0,0.000,0
140,7938050143,4,6,3,0.006,4
141,7938070109,0,0,0,0.000,0
142,7938070109,0,0,0,0.000,0
143,7938070139,4,6,3,0.006,4
144,7938090129,0,0,0,0.000,0
145,7938090129,0,0,0,0.000,0
146,7938090162,4,6,3,0.006,4
147,7938110182,0,0,0,0.000,0
148,7938110182,0,0,0,0.000,0
149,7938110212,4,6,3,0.006,4
150,7938130148,0,0,0,0.000,0
151,7938130148,0,0,0,0.000,0
152,7938130177,4,6,3,0.006,4
153,7938150120,0,0,0,0.000,0
154,7938150120,0,0,0,0.000,0
155,7938150139,4,6,3,0.006,4
156,7938170109,0,0,0,0.000,0
157,7938170109,0,0,0,0.000,0
158,7938170134,4,6,3,0.006,4
159,7938190116,0,0,0,0.000,0
160,7938190116,0,0,0,0.000,0
161,7938190140,4,6,3,0.006,4
162,7938210125,0,0,0,0.000,0
163,7938210125,0,0,0,0.000,0
164,7938210145,4,6,3,0.006,4
165,7938230123,0,0,0,0.000,0
166,7938230123,0,0,0,0.000,0
167,7938230147,4,6,3,0.006,4
168,7938250119,0,0,0,0.000,0
169,7938250119,0,0,0,0.000,0
170,7938250146,4,6,3,0.005,4
171,7938270119,0,0,0,0.000,0
172,7938270119,0,0,0,0.000,0
173,7938270137,4,6,3,0.005,4
174,7938290147,0,0,0,0.000,0
175,7938290147,0,0,0,0.000,0
176,7938290172,4,6,3,0.006,4
177,7938310130,0,0,0,0.000,0
178,7938310130,0,0,0,0.000,0
179,7938310154,4,6,3,0.006,4
180,7938330113,0,0,0,0.000,0
181,7938330113,0,0,0,0.000,0
182,7938330133,4,6,3,0.007,4
183,7938350176,0,0,0,0.000,0
184,7938350176,0,0,0,0.000,0
185,7938350201,4,6,3,0.007,4
186,7938370285,0,0,0,0.000,0
187,7938370285,0,0,0,0.000,0
188,7938370325,4,6,3,0.005,4
189,7938390073,0,0,0,0.000,0
190,7938390073,0,0,0,0.000,0
191,7938390094,4,6,3,0.004,4
192,7938409985,0,0,0,0.000,0
193,7938409985,0,0,0,0.000,0
194,7938410014,4,6,3,0.004,4
195,7938429971,0,0,0,0.000,0
196,7938429971,0,0,0,0.000,0
197,7938429996,4,6,3,0.005,4
198,7938450012,0,0,0,0.000,0
199,7938450012,0,0,0,0.000,0
200,7938450034,4,6,3,0.005,4
201,7938470054,0,0,0,0.000,0
202,7938470054,0,0,0,0.000,0
203,7938470082,4,6,3,0.003,4
204,7938490144,0,0,0,0.000,0
205,7938490144,0,0,0,0.000,0
206,7938490174,4,6,3,0.006,4
207,7938510181,0,0,0,0.000,0
208,7938510181,0,0,0,0.000,0
209,7938510212,4,6,3,0.007,4
210,7938530085,0,0,0,0.000,0
211,7938530085,0,0,0,0.000,0
212,7938530118,4,6,3,0.005,4
213,7938550124,0,0,0,0.000,0
214,7938550124,0,0,0,0.000,0
215,7938550154,4,6,3,0.006,4
216,7938570103,0,0,0,0.000,0
217,7938570103,0,0,0,0.000,0
218,7938570134,4,6,3,0.006,4
219,7938590127,0,0,0,0.000,0
220,7938590127,0,0,0,0.000,0
221,7938590158,4,6,3,0.018,4
222,7938610103,0,0,0,0.000,0
223,7938610103,0,0,0,0.000,0
224,7938610136,4,6,3,0.006,4
225,7938630094,0,0,0,0.000,0
226,7938630094,0,0,0,0.000,0
227,7938630124,4,6,3,0.005,4
228,7938650115,0,0,0,0.000,0
229,7938650115,0,0,0,0.000,0
230,7938650146,4,6,3,0.005,4
231,7938670080,0,0,0,0.000,0
232,7938670080,0,0,0,0.000,0
233,7938670110,4,6,3,0.005,4
234,7938690099,0,0,0,0.000,0
235,7938690099,0,0,0,0.000,0
236,7938690130,4,6,3,0.007,4
237,7938710102,0,0,0,0.000,0
238,7938710102,0,0,0,0.000,0
239,7938710134,4,6,3,0.006,4
240,7938730100,0,0,0,0.000,0
241,7938730100,0,0,0,0.000,0
242,7938730132,4,6,3,0.007,4
243,7938750098,0,0,0,0.000,0
244,7938750098,0,0,0,0.000,0
245,7938750129,4,6,3,0.005,4
246,7938770107,0,0,0,0.000,0
247,7938770107,0,0,0,0.000,0
