frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,7961576142,0,0,0,0.000,0
1,7961576142,0,0,0,0.000,0
2,7961576161,10,7,102,15.386,4
3,7961612188,0,0,0,0.000,0
4,7961612188,0,0,0,0.000,0
5,7961612227,4,7,99,16.819,4
6,7961628751,0,0,0,0.000,0
7,7961628751,0,0,0,0.000,0
8,7961628784,4,7,3,0.010,4
9,7961651085,0,0,0,0.000,0
10,7961651085,0,0,0,0.000,0
11,7961651124,4,7,3,0.006,4
12,7961668706,0,0,0,0.000,0
13,7961668706,0,0,0,0.000,0
14,7961668739,4,7,3,0.006,4
15,7961689875,0,0,0,0.000,0
16,7961689875,0,0,0,0.000,0
17,7961689911,4,7,3,0.007,4
18,7961718251,0,0,0,0.000,0
19,7961718251,0,0,0,0.000,0
20,7961718291,4,7,3,0.008,4
21,7961748779,0,0,0,0.000,0
22,7961748779,0,0,0,0.000,0
23,7961748816,4,7,3,0.006,4
24,7961768620,0,0,0,0.000,0
25,7961768620,0,0,0,0.000,0
26,7961768655,4,7,3,0.006,4
27,7961788499,0,0,0,0.000,0
28,7961788499,0,0,0,0.000,0
29,7961788531,4,7,3,0.003,4
30,7961808513,0,0,0,0.000,0
31,7961808513,0,0,0,0.000,0
32,7961808544,4,7,3,0.005,4
33,7961829217,0,0,0,0.000,0
34,7961829217,0,0,0,0.000,0
35,7961829236,4,7,3,0.004,4
36,7961848421,0,0,0,0.000,0
37,7961848421,0,0,0,0.000,0
38,7961848450,4,7,3,0.003,4
39,7961868389,0,0,0,0.000,0
40,7961868389,0,0,0,0.000,0
41,7961868421,4,7,3,0.003,4
42,7961888510,0,0,0,0.000,0
43,7961888510,0,0,0,0.000,0
44,7961888543,4,7,3,0.007,4
45,7961908743,0,0,0,0.000,0
46,7961908743,0,0,0,0.000,0
47,7961908790,4,7,3,0.004,4
48,7961928810,0,0,0,0.000,0
49,7961928810,0,0,0,0.000,0
50,7961928855,4,7,3,0.006,4
51,7961948803,0,0,0,0.000,0
52,7961948803,0,0,0,0.000,0
53,7961948849,4,7,3,0.004,4
54,7961968809,0,0,0,0.000,0
55,7961968809,0,0,0,0.000,0
56,7961968854,4,7,3,0.004,4
57,7961988880,0,0,0,0.000,0
58,7961988880,0,0,0,0.000,0
59,7961988929,4,7,3,0.004,4
60,7962008795,0,0,0,0.000,0
61,7962008795,0,0,0,0.000,0
62,7962008850,4,7,3,0.006,4
63,7962028619,0,0,0,0.000,0
64,7962028619,0,0,0,0.000,0
65,7962028659,4,7,3,0.004,4
66,7962048489,0,0,0,0.000,0
67,7962048489,0,0,0,0.000,0
68,7962048520,4,7,3,0.007,4
69,7962068458,0,0,0,0.000,0
70,7962068458,0,0,0,0.000,0
71,7962068489,4,7,3,0.017,4
72,7962088419,0,0,0,0.000,0
73,7962088419,0,0,0,0.000,0
74,7962088507,4,7,3,0.005,4
75,7962108448,0,0,0,0.000,0
76,7962108448,0,0,0,0.000,0
77,7962108477,4,7,3,0.004,4
78,7962128389,0,0,0,0.000,0
79,7962128389,0,0,0,0.000,0
80,7962128420,4,7,3,0.003,4
81,7962148444,0,0,0,0.000,0
82,7962148444,0,0,0,0.000,0
83,7962148474,4,7,3,0.005,4
84,7962168397,0,0,0,0.000,0
85,7962168397,0,0,0,0.000,0
86,7962168427,4,7,3,0.005,4
87,7962188393,0,0,0,0.000,0
88,7962188393,0,0,0,0.000,0
89,7962188422,4,7,3,0.003,4
90,7962208388,0,0,0,0.000,0
91,7962208388,0,0,0,0.000,0
92,7962208416,4,7,3,0.004,4
93,7962228365,0,0,0,0.000,0
94,7962228365,0,0,0,0.000,0
95,7962228393,4,7,3,0.005,4
96,7962248438,0,0,0,0.000,0
97,7962248438,0,0,0,0.000,0
98,7962248472,4,7,3,0.005,4
99,7962268533,0,0,0,0.000,0
100,7962268533,0,0,0,0.000,0
101,7962268571,4,7,3,0.005,4
102,7962288454,0,0,0,0.000,0
103,7962288454,0,0,0,0.000,0
104,7962288484,4,7,3,0.005,4
105,7962308429,0,0,0,0.000,0
106,7962308429,0,0,0,0.000,0
