frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,7987512934,0,0,0,0.000,0
1,7987512934,0,0,0,0.000,0
2,7987512954,10,7,102,17.244,4
3,7987549694,0,0,0,0.000,0
4,7987549694,0,0,0,0.000,0
5,7987549725,4,7,99,19.433,4
6,7987588722,0,0,0,0.000,0
7,7987588722,0,0,0,0.000,0
8,7987588781,4,7,3,0.010,4
9,7987627154,0,0,0,0.000,0
10,7987627154,0,0,0,0.000,0
11,7987627183,4,7,3,0.004,4
12,7987650788,0,0,0,0.000,0
13,7987650788,0,0,0,0.000,0
14,7987650819,4,7,3,0.003,4
15,7987665896,0,0,0,0.000,0
16,7987665896,0,0,0,0.000,0
17,7987665909,4,7,3,0.003,4
18,7987685889,0,0,0,0.000,0
19,7987685889,0,0,0,0.000,0
20,7987685920,4,7,3,0.003,4
21,7987705884,0,0,0,0.000,0
22,7987705884,0,0,0,0.000,0
23,7987705911,4,7,3,0.008,4
24,7987725560,0,0,0,0.000,0
25,7987725560,0,0,0,0.000,0
26,7987725589,4,7,3,0.006,4
27,7987745480,0,0,0,0.000,0
28,7987745480,0,0,0,0.000,0
29,7987745512,4,7,3,0.007,4
30,7987765533,0,0,0,0.000,0
31,7987765533,0,0,0,0.000,0
32,7987765564,4,7,3,0.006,4
33,7987785502,0,0,0,0.000,0
34,7987785502,0,0,0,0.000,0
35,7987785533,4,7,3,0.007,4
36,7987806161,0,0,0,0.000,0
37,7987806161,0,0,0,0.000,0
38,7987806185,4,7,3,0.006,4
39,7987825653,0,0,0,0.000,0
40,7987825653,0,0,0,0.000,0
41,7987825694,4,7,3,0.007,4
42,7987845515,0,0,0,0.000,0
43,7987845515,0,0,0,0.000,0
44,7987845543,4,7,3,0.006,4
45,7987865590,0,0,0,0.000,0
46,7987865590,0,0,0,0.000,0
47,7987865618,4,7,3,0.007,4
48,7987885795,0,0,0,0.000,0
49,7987885795,0,0,0,0.000,0
50,7987885823,4,7,3,0.007,4
51,7987905683,0,0,0,0.000,0
52,7987905683,0,0,0,0.000,0
