frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8068958517,0,0,0,0.000,0
1,8068958517,0,0,0,0.000,0
2,8068958537,10,7,54,18.347,4
3,8068995070,0,0,0,0.000,0
4,8068995070,0,0,0,0.000,0
5,8068995104,4,7,51,21.419,4
6,8069011599,0,0,0,0.000,0
7,8069011599,0,0,0,0.000,0
8,8069011634,4,7,3,0.008,4
9,8069033330,0,0,0,0.000,0
10,8069033330,0,0,0,0.000,0
11,8069033369,4,7,3,0.004,4
12,8069052461,0,0,0,0.000,0
13,8069052461,0,0,0,0.000,0
14,8069052494,4,7,3,0.006,4
15,8069072339,0,0,0,0.000,0
16,8069072339,0,0,0,0.000,0
17,8069072368,4,7,3,0.006,4
18,8069094050,0,0,0,0.000,0
19,8069094050,0,0,0,0.000,0
20,8069094084,4,7,3,0.008,4
21,8069120168,0,0,0,0.000,0
22,8069120168,0,0,0,0.000,0
23,8069120211,4,7,3,0.007,4
24,8069131489,0,0,0,0.000,0
25,8069131489,0,0,0,0.000,0
26,8069131513,4,7,3,0.007,4
27,8069151542,0,0,0,0.000,0
28,8069151542,0,0,0,0.000,0
29,8069151570,4,7,3,0.007,4
30,8069171533,0,0,0,0.000,0
31,8069171533,0,0,0,0.000,0
32,8069171562,4,7,3,0.003,4
33,8069191349,0,0,0,0.000,0
34,8069191349,0,0,0,0.000,0
35,8069191381,4,7,3,0.003,4
36,8069211373,0,0,0,0.000,0
37,8069211373,0,0,0,0.000,0
38,8069211402,4,7,3,0.005,4
39,8069231360,0,0,0,0.000,0
40,8069231360,0,0,0,0.000,0
41,8069231391,4,7,3,0.004,4
42,8069251970,0,0,0,0.000,0
43,8069251970,0,0,0,0.000,0
44,8069251992,4,7,3,0.003,4
45,8069271302,0,0,0,0.000,0
46,8069271302,0,0,0,0.000,0
47,8069271332,4,7,3,0.006,4
48,8069291235,0,0,0,0.000,0
49,8069291235,0,0,0,0.000,0
50,8069291262,4,7,3,0.006,4
51,8069311186,0,0,0,0.000,0
52,8069311186,0,0,0,0.000,0
53,8069311213,4,7,3,0.005,4
54,8069331173,0,0,0,0.000,0
55,8069331173,0,0,0,0.000,0
56,8069331199,4,7,3,0.006,4
57,8069351182,0,0,0,0.000,0
58,8069351182,0,0,0,0.000,0
59,8069351207,4,7,3,0.005,4
60,8069371158,0,0,0,0.000,0
61,8069371158,0,0,0,0.000,0
62,8069371183,4,7,3,0.005,4
63,8069391293,0,0,0,0.000,0
64,8069391293,0,0,0,0.000,0
65,8069391322,4,7,3,0.005,4
66,8069411342,0,0,0,0.000,0
67,8069411342,0,0,0,0.000,0
68,8069411369,4,7,3,0.005,4
69,8069431305,0,0,0,0.000,0
70,8069431305,0,0,0,0.000,0
71,8069431330,4,7,3,0.006,4
72,8069451294,0,0,0,0.000,0
73,8069451294,0,0,0,0.000,0
74,8069451323,4,7,3,0.006,4
75,8069471254,0,0,0,0.000,0
76,8069471254,0,0,0,0.000,0
77,8069471281,4,7,3,0.006,4
78,8069491230,0,0,0,0.000,0
79,8069491230,0,0,0,0.000,0
80,8069491337,4,7,3,0.006,4
81,8069511339,0,0,0,0.000,0
82,8069511339,0,0,0,0.000,0
83,8069511368,4,7,3,0.006,4
84,8069531246,0,0,0,0.000,0
85,8069531246,0,0,0,0.000,0
86,8069531269,4,7,3,0.006,4
87,8069551315,0,0,0,0.000,0
88,8069551315,0,0,0,0.000,0
89,8069551339,4,7,3,0.006,4
90,8069571273,0,0,0,0.000,0
91,8069571273,0,0,0,0.000,0
92,8069571297,4,7,3,0.005,4
93,8069591274,0,0,0,0.000,0
94,8069591274,0,0,0,0.000,0
95,8069591298,4,7,3,0.007,4
96,8069611341,0,0,0,0.000,0
97,8069611341,0,0,0,0.000,0
98,8069611366,4,7,3,0.005,4
99,8069631307,0,0,0,0.000,0
100,8069631307,0,0,0,0.000,0
101,8069631332,4,7,3,0.006,4
102,8069651322,0,0,0,0.000,0
103,8069651322,0,0,0,0.000,0
104,8069651347,4,7,3,0.006,4
105,8069671587,0,0,0,0.000,0
106,8069671587,0,0,0,0.000,0
107,8069671623,4,7,3,0.015,4
108,8069691443,0,0,0,0.000,0
109,8069691443,0,0,0,0.000,0
110,8069691473,4,7,3,0.006,4
111,8069711368,0,0,0,0.000,0
112,8069711368,0,0,0,0.000,0
113,8069711396,4,7,3,0.006,4
114,8069731357,0,0,0,0.000,0
115,8069731357,0,0,0,0.000,0
116,8069731386,4,7,3,0.006,4
117,8069751470,0,0,0,0.000,0
118,8069751470,0,0,0,0.000,0
119,8069751506,4,7,3,0.007,4
120,8069771385,0,0,0,0.000,0
121,8069771385,0,0,0,0.000,0
122,8069771413,4,7,3,0.005,4
123,8069791340,0,0,0,0.000,0
124,8069791340,0,0,0,0.000,0
125,8069791364,4,7,3,0.004,4
126,8069811396,0,0,0,0.000,0
127,8069811396,0,0,0,0.000,0
128,8069811424,4,7,3,0.004,4
129,8069831233,0,0,0,0.000,0
130,8069831233,0,0,0,0.000,0
131,8069831258,4,7,3,0.004,4
132,8069851113,0,0,0,0.000,0
133,8069851113,0,0,0,0.000,0
134,8069851130,4,7,3,0.006,4
135,8069871289,0,0,0,0.000,0
136,8069871289,0,0,0,0.000,0
137,8069871309,4,7,3,0.006,4
138,8069891263,0,0,0,0.000,0
139,8069891263,0,0,0,0.000,0
140,8069891281,4,7,3,0.006,4
141,8069911257,0,0,0,0.000,0
142,8069911257,0,0,0,0.000,0
143,8069911277,4,7,3,0.006,4
144,8069931286,0,0,0,0.000,0
145,8069931286,0,0,0,0.000,0
146,8069931317,4,7,3,0.006,4
147,8069951351,0,0,0,0.000,0
148,8069951351,0,0,0,0.000,0
149,8069951379,4,7,3,0.006,4
150,8069971306,0,0,0,0.000,0
151,8069971306,0,0,0,0.000,0
152,8069971326,4,7,3,0.006,4
153,8069991291,0,0,0,0.000,0
154,8069991291,0,0,0,0.000,0
155,8069991315,4,7,3,0.005,4
156,8070011363,0,0,0,0.000,0
157,8070011363,0,0,0,0.000,0
158,8070011389,4,7,3,0.007,4
159,8070031327,0,0,0,0.000,0
160,8070031327,0,0,0,0.000,0
161,8070031358,4,7,3,0.006,4
162,8070051294,0,0,0,0.000,0
163,8070051294,0,0,0,0.000,0
164,8070051325,4,7,3,0.005,4
165,8070071313,0,0,0,0.000,0
166,8070071313,0,0,0,0.000,0
167,8070071341,4,7,3,0.006,4
168,8070091260,0,0,0,0.000,0
169,8070091260,0,0,0,0.000,0
170,8070091289,4,7,3,0.006,4
171,8070111265,0,0,0,0.000,0
172,8070111265,0,0,0,0.000,0
173,8070111296,4,7,3,0.006,4
174,8070131280,0,0,0,0.000,0
175,8070131280,0,0,0,0.000,0
176,8070131307,4,7,3,0.006,4
177,8070151237,0,0,0,0.000,0
178,8070151237,0,0,0,0.000,0
179,8070151270,4,7,3,0.006,4
180,8070171254,0,0,0,0.000,0
181,8070171254,0,0,0,0.000,0
182,8070171288,4,7,3,0.006,4
183,8070191261,0,0,0,0.000,0
184,8070191261,0,0,0,0.000,0
185,8070191289,4,7,3,0.007,4
186,8070211240,0,0,0,0.000,0
187,8070211240,0,0,0,0.000,0
188,8070211269,4,7,3,0.005,4
189,8070231246,0,0,0,0.000,0
190,8070231246,0,0,0,0.000,0
191,8070231273,4,7,3,0.006,4
192,8070251242,0,0,0,0.000,0
193,8070251242,0,0,0,0.000,0
194,8070251287,4,7,3,0.006,4
195,8070271548,0,0,0,0.000,0
196,8070271548,0,0,0,0.000,0
197,8070271575,4,7,3,0.006,4
198,8070291399,0,0,0,0.000,0
199,8070291399,0,0,0,0.000,0
200,8070291427,4,7,3,0.006,4
201,8070311502,0,0,0,0.000,0
202,8070311502,0,0,0,0.000,0
203,8070311527,4,7,3,0.007,4
204,8070331550,0,0,0,0.000,0
205,8070331550,0,0,0,0.000,0
206,8070331574,4,7,3,0.007,4
207,8070351472,0,0,0,0.000,0
208,8070351472,0,0,0,0.000,0
209,8070351509,4,7,3,0.007,4
210,8070371441,0,0,0,0.000,0
211,8070371441,0,0,0,0.000,0
212,8070371467,4,7,3,0.006,4
213,8070391402,0,0,0,0.000,0
214,8070391402,0,0,0,0.000,0
215,8070391435,4,7,3,0.003,4
216,8070411427,0,0,0,0.000,0
217,8070411427,0,0,0,0.000,0
218,8070411461,4,7,3,0.003,4
219,8070431339,0,0,0,0.000,0
220,8070431339,0,0,0,0.000,0
221,8070431366,4,7,3,0.004,4
222,8070451291,0,0,0,0.000,0
223,8070451291,0,0,0,0.000,0
224,8070451313,4,7,3,0.003,4
225,8070471395,0,0,0,0.000,0
226,8070471395,0,0,0,0.000,0
227,8070471416,4,7,3,0.006,4
228,8070491332,0,0,0,0.000,0
229,8070491332,0,0,0,0.000,0
230,8070491352,4,7,3,0.005,4
231,8070511442,0,0,0,0.000,0
232,8070511442,0,0,0,0.000,0
233,8070511483,4,7,3,0.008,4
234,8070531395,0,0,0,0.000,0
235,8070531395,0,0,0,0.000,0
236,8070531431,4,7,3,0.006,4
237,8070551339,0,0,0,0.000,0
238,8070551339,0,0,0,0.000,0
239,8070551361,4,7,3,0.005,4
240,8070571331,0,0,0,0.000,0
241,8070571331,0,0,0,0.000,0
242,8070571355,4,7,3,0.006,4
243,8070591315,0,0,0,0.000,0
244,8070591315,0,0,0,0.000,0
245,8070591340,4,7,3,0.006,4
246,8070611294,0,0,0,0.000,0
247,8070611294,0,0,0,0.000,0
248,8070611317,4,7,3,0.006,4
249,8070631316,0,0,0,0.000,0
250,8070631316,0,0,0,0.000,0
251,8070631348,4,7,3,0.006,4
252,8070651352,0,0,0,0.000,0
253,8070651352,0,0,0,0.000,0
254,8070651375,4,7,3,0.006,4
255,8070671306,0,0,0,0.000,0
256,8070671306,0,0,0,0.000,0
257,8070671332,4,7,3,0.006,4
258,8070691294,0,0,0,0.000,0
259,8070691294,0,0,0,0.000,0
260,8070691315,4,7,3,0.006,4
261,8070711437,0,0,0,0.000,0
262,8070711437,0,0,0,0.000,0
263,8070711483,4,7,3,0.006,4
264,8070731524,0,0,0,0.000,0
265,8070731524,0,0,0,0.000,0
266,8070731571,4,7,3,0.006,4
267,8070751517,0,0,0,0.000,0
268,8070751517,0,0,0,0.000,0
269,8070751563,4,7,3,0.007,4
270,8070771640,0,0,0,0.000,0
271,8070771640,0,0,0,0.000,0
272,8070771680,4,7,3,0.007,4
273,8070791706,0,0,0,0.000,0
274,8070791706,0,0,0,0.000,0
275,8070791737,4,7,3,0.006,4
276,8070811701,0,0,0,0.000,0
277,8070811701,0,0,0,0.000,0
278,8070811734,4,7,3,0.005,4
279,8070831434,0,0,0,0.000,0
280,8070831434,0,0,0,0.000,0
281,8070831464,4,7,3,0.004,4
282,8070851139,0,0,0,0.000,0
283,8070851139,0,0,0,0.000,0
284,8070851168,4,7,3,0.004,4
285,8070871069,0,0,0,0.000,0
286,8070871069,0,0,0,0.000,0
287,8070871097,4,7,3,0.006,4
288,8070891285,0,0,0,0.000,0
289,8070891285,0,0,0,0.000,0
290,8070891322,4,7,3,0.006,4
291,8070911278,0,0,0,0.000,0
292,8070911278,0,0,0,0.000,0
293,8070911317,4,7,3,0.006,4
294,8070931335,0,0,0,0.000,0
295,8070931335,0,0,0,0.000,0
296,8070931374,4,7,3,0.007,4
297,8070952746,0,0,0,0.000,0
298,8070952746,0,0,0,0.000,0
299,8070952768,4,7,3,0.005,4
300,8070971886,0,0,0,0.000,0
301,8070971886,0,0,0,0.000,0
302,8070971913,4,7,3,0.004,4
303,8070991150,0,0,0,0.000,0
304,8070991150,0,0,0,0.000,0
305,8070991180,4,7,3,0.005,4
306,8071011238,0,0,0,0.000,0
307,8071011238,0,0,0,0.000,0
308,8071011262,4,7,3,0.004,4
309,8071031144,0,0,0,0.000,0
310,8071031144,0,0,0,0.000,0
311,8071031171,4,7,3,0.004,4
312,8071051223,0,0,0,0.000,0
313,8071051223,0,0,0,0.000,0
314,8071051266,4,7,3,0.007,4
315,8071071234,0,0,0,0.000,0
316,8071071234,0,0,0,0.000,0
317,8071071270,4,7,3,0.006,4
318,8071091463,0,0,0,0.000,0
319,8071091463,0,0,0,0.000,0
320,8071091501,4,7,3,0.007,4
321,8071111242,0,0,0,0.000,0
322,8071111242,0,0,0,0.000,0
323,8071111284,4,7,3,0.006,4
324,8071131281,0,0,0,0.000,0
325,8071131281,0,0,0,0.000,0
326,8071131323,4,7,3,0.006,4
327,8071151257,0,0,0,0.000,0
328,8071151257,0,0,0,0.000,0
329,8071151299,4,7,3,0.006,4
330,8071171316,0,0,0,0.000,0
331,8071171316,0,0,0,0.000,0
332,8071171358,4,7,3,0.006,4
333,8071191257,0,0,0,0.000,0
334,8071191257,0,0,0,0.000,0
335,8071191299,4,7,3,0.007,4
336,8071211464,0,0,0,0.000,0
337,8071211464,0,0,0,0.000,0
338,8071211513,4,7,3,0.006,4
339,8071231363,0,0,0,0.000,0
340,8071231363,0,0,0,0.000,0
341,8071231406,4,7,3,0.007,4
342,8071251285,0,0,0,0.000,0
343,8071251285,0,0,0,0.000,0
344,8071251329,4,7,3,0.006,4
345,8071271616,0,0,0,0.000,0
346,8071271616,0,0,0,0.000,0
347,8071271661,4,7,3,0.007,4
348,8071291419,0,0,0,0.000,0
349,8071291419,0,0,0,0.000,0
350,8071291462,4,7,3,0.007,4
351,8071311296,0,0,0,0.000,0
352,8071311296,0,0,0,0.000,0
353,8071311338,4,7,3,0.006,4
354,8071331405,0,0,0,0.000,0
355,8071331405,0,0,0,0.000,0
356,8071331450,4,7,3,0.007,4
357,8071351292,0,0,0,0.000,0
358,8071351292,0,0,0,0.000,0
359,8071351335,4,7,3,0.006,4
360,8071371295,0,0,0,0.000,0
361,8071371295,0,0,0,0.000,0
362,8071371338,4,7,3,0.008,4
363,8071391275,0,0,0,0.000,0
364,8071391275,0,0,0,0.000,0
365,8071391317,4,7,3,0.007,4
366,8071411285,0,0,0,0.000,0
367,8071411285,0,0,0,0.000,0
368,8071411328,4,7,3,0.006,4
369,8071431297,0,0,0,0.000,0
370,8071431297,0,0,0,0.000,0
371,8071431339,4,7,3,0.006,4
372,8071451288,0,0,0,0.000,0
373,8071451288,0,0,0,0.000,0
374,8071451332,4,7,3,0.005,4
375,8071471278,0,0,0,0.000,0
376,8071471278,0,0,0,0.000,0
377,8071471319,4,7,3,0.006,4
378,8071491258,0,0,0,0.000,0
379,8071491258,0,0,0,0.000,0
380,8071491300,4,7,3,0.007,4
381,8071511344,0,0,0,0.000,0
382,8071511344,0,0,0,0.000,0
383,8071511387,4,7,3,0.007,4
384,8071531286,0,0,0,0.000,0
385,8071531286,0,0,0,0.000,0
386,8071531311,4,7,3,0.007,4
387,8071551282,0,0,0,0.000,0
388,8071551282,0,0,0,0.000,0
389,8071551324,4,7,3,0.007,4
390,8071571275,0,0,0,0.000,0
391,8071571275,0,0,0,0.000,0
392,8071571302,4,7,3,0.003,4
393,8071591222,0,0,0,0.000,0
394,8071591222,0,0,0,0.000,0
395,8071591251,4,7,3,0.004,4
396,8071611243,0,0,0,0.000,0
397,8071611243,0,0,0,0.000,0
398,8071611276,4,7,3,0.006,4
399,8071631227,0,0,0,0.000,0
400,8071631227,0,0,0,0.000,0
401,8071631255,4,7,3,0.004,4
402,8071651190,0,0,0,0.000,0
403,8071651190,0,0,0,0.000,0
404,8071651217,4,7,3,0.004,4
405,8071671103,0,0,0,0.000,0
406,8071671103,0,0,0,0.000,0
407,8071671139,4,7,3,0.004,4
408,8071691206,0,0,0,0.000,0
409,8071691206,0,0,0,0.000,0
410,8071691242,4,7,3,0.006,4
411,8071711219,0,0,0,0.000,0
412,8071711219,0,0,0,0.000,0
413,8071711257,4,7,3,0.006,4
414,8071731233,0,0,0,0.000,0
415,8071731233,0,0,0,0.000,0
416,8071731267,4,7,3,0.006,4
417,8071751210,0,0,0,0.000,0
418,8071751210,0,0,0,0.000,0
419,8071751247,4,7,3,0.007,4
420,8071771214,0,0,0,0.000,0
421,8071771214,0,0,0,0.000,0
422,8071771251,4,7,3,0.007,4
423,8071791218,0,0,0,0.000,0
424,8071791218,0,0,0,0.000,0
425,8071791256,4,7,3,0.005,4
426,8071811220,0,0,0,0.000,0
427,8071811220,0,0,0,0.000,0
428,8071811256,4,7,3,0.007,4
429,8071831208,0,0,0,0.000,0
430,8071831208,0,0,0,0.000,0
431,8071831244,4,7,3,0.006,4
432,8071851348,0,0,0,0.000,0
433,8071851348,0,0,0,0.000,0
434,8071851377,4,7,3,0.007,4
435,8071871304,0,0,0,0.000,0
436,8071871304,0,0,0,0.000,0
437,8071871327,4,7,3,0.007,4
438,8071891291,0,0,0,0.000,0
439,8071891291,0,0,0,0.000,0
440,8071891324,4,7,3,0.006,4
441,8071911257,0,0,0,0.000,0
442,8071911257,0,0,0,0.000,0
443,8071911292,4,7,3,0.006,4
444,8071931263,0,0,0,0.000,0
445,8071931263,0,0,0,0.000,0
446,8071931297,4,7,3,0.006,4
447,8071951255,0,0,0,0.000,0
448,8071951255,0,0,0,0.000,0
449,8071951288,4,7,3,0.007,4
450,8071971286,0,0,0,0.000,0
451,8071971286,0,0,0,0.000,0
452,8071971321,4,7,3,0.006,4
453,8071991233,0,0,0,0.000,0
454,8071991233,0,0,0,0.000,0
455,8071991269,4,7,3,0.006,4
456,8072011305,0,0,0,0.000,0
457,8072011305,0,0,0,0.000,0
458,8072011337,4,7,3,0.008,4
459,8072031235,0,0,0,0.000,0
460,8072031235,0,0,0,0.000,0
461,8072031270,4,7,3,0.006,4
462,8072051195,0,0,0,0.000,0
463,8072051195,0,0,0,0.000,0
464,8072051231,4,7,3,0.006,4
465,8072071205,0,0,0,0.000,0
466,8072071205,0,0,0,0.000,0
467,8072071243,4,7,3,0.006,4
468,8072091199,0,0,0,0.000,0
469,8072091199,0,0,0,0.000,0
470,8072091235,4,7,3,0.007,4
471,8072111234,0,0,0,0.000,0
472,8072111234,0,0,0,0.000,0
473,8072111270,4,7,3,0.005,4
474,8072131234,0,0,0,0.000,0
475,8072131234,0,0,0,0.000,0
476,8072131269,4,7,3,0.007,4
477,8072151248,0,0,0,0.000,0
478,8072151248,0,0,0,0.000,0
479,8072151278,4,7,3,0.007,4
480,8072171332,0,0,0,0.000,0
481,8072171332,0,0,0,0.000,0
482,8072171359,4,7,3,0.005,4
483,8072191198,0,0,0,0.000,0
484,8072191198,0,0,0,0.000,0
485,8072191221,4,7,3,0.004,4
486,8072211327,0,0,0,0.000,0
487,8072211327,0,0,0,0.000,0
488,8072211360,4,7,3,0.004,4
489,8072231234,0,0,0,0.000,0
490,8072231234,0,0,0,0.000,0
491,8072231263,4,7,3,0.003,4
492,8072251182,0,0,0,0.000,0
493,8072251182,0,0,0,0.000,0
494,8072251208,4,7,3,0.003,4
495,8072271071,0,0,0,0.000,0
496,8072271071,0,0,0,0.000,0
497,8072271099,4,7,3,0.005,4
498,8072291086,0,0,0,0.000,0
499,8072291086,0,0,0,0.000,0
500,8072291122,4,7,3,0.006,4
501,8072311233,0,0,0,0.000,0
502,8072311233,0,0,0,0.000,0
503,8072311268,4,7,3,0.006,4
504,8072331218,0,0,0,0.000,0
505,8072331218,0,0,0,0.000,0
506,8072331254,4,7,3,0.005,4
507,8072351205,0,0,0,0.000,0
508,8072351205,0,0,0,0.000,0
509,8072351241,4,7,3,0.006,4
510,8072371200,0,0,0,0.000,0
511,8072371200,0,0,0,0.000,0
512,8072371236,4,7,3,0.006,4
513,8072391271,0,0,0,0.000,0
514,8072391271,0,0,0,0.000,0
515,8072391307,4,7,3,0.005,4
516,8072411232,0,0,0,0.000,0
517,8072411232,0,0,0,0.000,0
518,8072411267,4,7,3,0.007,4
519,8072431205,0,0,0,0.000,0
520,8072431205,0,0,0,0.000,0
521,8072431241,4,7,3,0.006,4
522,8072451205,0,0,0,0.000,0
523,8072451205,0,0,0,0.000,0
524,8072451240,4,7,3,0.006,4
525,8072471202,0,0,0,0.000,0
526,8072471202,0,0,0,0.000,0
527,8072471238,4,7,3,0.007,4
528,8072491203,0,0,0,0.000,0
529,8072491203,0,0,0,0.000,0
530,8072491240,4,7,3,0.007,4
531,8072511322,0,0,0,0.000,0
532,8072511322,0,0,0,0.000,0
533,8072511354,4,7,3,0.007,4
534,8072531251,0,0,0,0.000,0
535,8072531251,0,0,0,0.000,0
536,8072531286,4,7,3,0.006,4
537,8072551202,0,0,0,0.000,0
538,8072551202,0,0,0,0.000,0
539,8072551238,4,7,3,0.006,4
540,8072571221,0,0,0,0.000,0
541,8072571221,0,0,0,0.000,0
542,8072571257,4,7,3,0.006,4
543,8072591218,0,0,0,0.000,0
544,8072591218,0,0,0,0.000,0
545,8072591255,4,7,3,0.006,4
546,8072611213,0,0,0,0.000,0
547,8072611213,0,0,0,0.000,0
548,8072611249,4,7,3,0.007,4
549,8072631239,0,0,0,0.000,0
550,8072631239,0,0,0,0.000,0
551,8072631273,4,7,3,0.007,4
552,8072651199,0,0,0,0.000,0
553,8072651199,0,0,0,0.000,0
554,8072651234,4,7,3,0.007,4
555,8072671194,0,0,0,0.000,0
556,8072671194,0,0,0,0.000,0
557,8072671230,4,7,3,0.006,4
558,8072691199,0,0,0,0.000,0
559,8072691199,0,0,0,0.000,0
560,8072691234,4,7,3,0.007,4
561,8072711241,0,0,0,0.000,0
562,8072711241,0,0,0,0.000,0
563,8072711277,4,7,3,0.005,4
564,8072731202,0,0,0,0.000,0
565,8072731202,0,0,0,0.000,0
566,8072731238,4,7,3,0.006,4
567,8072751211,0,0,0,0.000,0
568,8072751211,0,0,0,0.000,0
569,8072751249,4,7,3,0.005,4
570,8072771266,0,0,0,0.000,0
571,8072771266,0,0,0,0.000,0
572,8072771292,4,7,3,0.005,4
573,8072791291,0,0,0,0.000,0
574,8072791291,0,0,0,0.000,0
575,8072791316,4,7,3,0.005,4
576,8072811308,0,0,0,0.000,0
577,8072811308,0,0,0,0.000,0
578,8072811333,4,7,3,0.004,4
579,8072831259,0,0,0,0.000,0
580,8072831259,0,0,0,0.000,0
581,8072831287,4,7,3,0.003,4
582,8072851378,0,0,0,0.000,0
583,8072851378,0,0,0,0.000,0
584,8072851412,4,7,3,0.008,4
585,8072871292,0,0,0,0.000,0
586,8072871292,0,0,0,0.000,0
