frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8139631027,0,0,0,0.000,0
1,8139631027,0,0,0,0.000,0
2,8139631044,14,7,297,39.550,4
3,8139668516,0,0,0,0.000,0
4,8139668516,0,0,0,0.000,0
5,8139668545,4,7,294,57.053,4
6,8139706260,0,0,0,0.000,0
7,8139706260,0,0,0,0.000,0
8,8139706290,4,7,3,0.012,4
9,8139726165,0,0,0,0.000,0
10,8139726165,0,0,0,0.000,0
11,8139726194,4,7,3,0.006,4
12,8139745218,0,0,0,0.000,0
13,8139745218,0,0,0,0.000,0
14,8139745265,4,7,3,0.007,4
15,8139768276,0,0,0,0.000,0
16,8139768276,0,0,0,0.000,0
17,8139768302,4,7,3,0.006,4
18,8139791452,0,0,0,0.000,0
19,8139791452,0,0,0,0.000,0
20,8139791479,4,7,3,0.007,4
21,8139824839,0,0,0,0.000,0
22,8139824839,0,0,0,0.000,0
23,8139824860,4,7,3,0.007,4
24,8139844740,0,0,0,0.000,0
25,8139844740,0,0,0,0.000,0
26,8139844766,4,7,3,0.006,4
27,8139864671,0,0,0,0.000,0
28,8139864671,0,0,0,0.000,0
29,8139864697,4,7,3,0.005,4
30,8139884660,0,0,0,0.000,0
31,8139884660,0,0,0,0.000,0
32,8139884680,4,7,3,0.004,4
33,8139904675,0,0,0,0.000,0
34,8139904675,0,0,0,0.000,0
35,8139904701,4,7,3,0.007,4
36,8139925381,0,0,0,0.000,0
37,8139925381,0,0,0,0.000,0
38,8139925404,4,7,3,0.003,4
39,8139944633,0,0,0,0.000,0
40,8139944633,0,0,0,0.000,0
41,8139944654,4,7,3,0.003,4
42,8139964513,0,0,0,0.000,0
43,8139964513,0,0,0,0.000,0
44,8139964531,4,7,3,0.006,4
45,8139984486,0,0,0,0.000,0
46,8139984486,0,0,0,0.000,0
47,8139984506,4,7,3,0.006,4
48,8140004613,0,0,0,0.000,0
49,8140004613,0,0,0,0.000,0
50,8140004634,4,7,3,0.008,4
51,8140024505,0,0,0,0.000,0
52,8140024505,0,0,0,0.000,0
53,8140024524,4,7,3,0.007,4
54,8140044489,0,0,0,0.000,0
55,8140044489,0,0,0,0.000,0
56,8140044509,4,7,3,0.007,4
57,8140064468,0,0,0,0.000,0
58,8140064468,0,0,0,0.000,0
59,8140064484,4,7,3,0.006,4
60,8140084488,0,0,0,0.000,0
61,8140084488,0,0,0,0.000,0
62,8140084510,4,7,3,0.007,4
63,8140104482,0,0,0,0.000,0
64,8140104482,0,0,0,0.000,0
65,8140104505,4,7,3,0.006,4
66,8140124494,0,0,0,0.000,0
67,8140124494,0,0,0,0.000,0
68,8140124517,4,7,3,0.004,4
69,8140144481,0,0,0,0.000,0
70,8140144481,0,0,0,0.000,0
71,8140144559,4,7,3,0.006,4
72,8140164526,0,0,0,0.000,0
73,8140164526,0,0,0,0.000,0
74,8140164542,4,7,3,0.007,4
75,8140184531,0,0,0,0.000,0
76,8140184531,0,0,0,0.000,0
77,8140184553,4,7,3,0.007,4
78,8140204490,0,0,0,0.000,0
79,8140204490,0,0,0,0.000,0
80,8140204511,4,7,3,0.008,4
81,8140224488,0,0,0,0.000,0
82,8140224488,0,0,0,0.000,0
83,8140224507,4,7,3,0.006,4
84,8140244470,0,0,0,0.000,0
85,8140244470,0,0,0,0.000,0
86,8140244492,4,7,3,0.006,4
87,8140264458,0,0,0,0.000,0
88,8140264458,0,0,0,0.000,0
89,8140264478,4,7,3,0.006,4
90,8140284494,0,0,0,0.000,0
91,8140284494,0,0,0,0.000,0
92,8140284517,4,7,3,0.007,4
93,8140304867,0,0,0,0.000,0
94,8140304867,0,0,0,0.000,0
95,8140304891,4,7,3,0.006,4
