frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8199909166,0,0,0,0.000,0
1,8199909166,0,0,0,0.000,0
2,8199909182,14,7,297,41.786,4
3,8199946340,0,0,0,0.000,0
4,8199946340,0,0,0,0.000,0
5,8199946365,4,7,294,66.663,4
6,8199983441,0,0,0,0.000,0
7,8199983441,0,0,0,0.000,0
8,8199983477,4,7,3,0.015,4
9,8200003893,0,0,0,0.000,0
10,8200003893,0,0,0,0.000,0
11,8200003934,4,7,3,0.007,4
12,8200053931,0,0,0,0.000,0
13,8200053931,0,0,0,0.000,0
14,8200053973,4,7,3,0.008,4
15,8200082779,0,0,0,0.000,0
16,8200082779,0,0,0,0.000,0
17,8200082817,4,7,3,0.006,4
18,8200102547,0,0,0,0.000,0
19,8200102547,0,0,0,0.000,0
20,8200102590,4,7,3,0.007,4
21,8200122467,0,0,0,0.000,0
22,8200122467,0,0,0,0.000,0
23,8200122516,4,7,3,0.009,4
24,8200142503,0,0,0,0.000,0
25,8200142503,0,0,0,0.000,0
26,8200142551,4,7,3,0.008,4
27,8200162471,0,0,0,0.000,0
28,8200162471,0,0,0,0.000,0
29,8200162520,4,7,3,0.007,4
30,8200183918,0,0,0,0.000,0
31,8200183918,0,0,0,0.000,0
32,8200183947,4,7,3,0.008,4
33,8200202501,0,0,0,0.000,0
34,8200202501,0,0,0,0.000,0
35,8200202538,4,7,3,0.007,4
36,8200222491,0,0,0,0.000,0
37,8200222491,0,0,0,0.000,0
38,8200222521,4,7,3,0.006,4
39,8200242427,0,0,0,0.000,0
40,8200242427,0,0,0,0.000,0
41,8200242461,4,7,3,0.004,4
42,8200262449,0,0,0,0.000,0
43,8200262449,0,0,0,0.000,0
44,8200262483,4,7,3,0.003,4
45,8200282445,0,0,0,0.000,0
46,8200282445,0,0,0,0.000,0
47,8200282479,4,7,3,0.003,4
48,8200302426,0,0,0,0.000,0
49,8200302426,0,0,0,0.000,0
50,8200302460,4,7,3,0.004,4
51,8200322433,0,0,0,0.000,0
52,8200322433,0,0,0,0.000,0
53,8200322467,4,7,3,0.004,4
54,8200342419,0,0,0,0.000,0
55,8200342419,0,0,0,0.000,0
56,8200342452,4,7,3,0.003,4
57,8200362420,0,0,0,0.000,0
