frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8170073400,0,0,0,0.000,0
1,8170073400,0,0,0,0.000,0
2,8170073421,10,7,297,44.218,4
3,8170113735,0,0,0,0.000,0
4,8170113735,0,0,0,0.000,0
5,8170113773,4,7,294,65.846,4
6,8170149196,0,0,0,0.000,0
7,8170149196,0,0,0,0.000,0
8,8170149224,4,7,3,0.010,4
9,8170172860,0,0,0,0.000,0
10,8170172860,0,0,0,0.000,0
11,8170172901,4,7,3,0.007,4
12,8170218361,0,0,0,0.000,0
13,8170218361,0,0,0,0.000,0
14,8170218407,4,7,3,0.007,4
15,8170249961,0,0,0,0.000,0
16,8170249961,0,0,0,0.000,0
17,8170249989,4,7,3,0.006,4
18,8170270081,0,0,0,0.000,0
19,8170270081,0,0,0,0.000,0
20,8170270118,4,7,3,0.006,4
21,8170289792,0,0,0,0.000,0
22,8170289792,0,0,0,0.000,0
23,8170289817,4,7,3,0.008,4
24,8170309780,0,0,0,0.000,0
25,8170309780,0,0,0,0.000,0
26,8170309805,4,7,3,0.006,4
27,8170329772,0,0,0,0.000,0
28,8170329772,0,0,0,0.000,0
29,8170329800,4,7,3,0.006,4
30,8170349742,0,0,0,0.000,0
31,8170349742,0,0,0,0.000,0
32,8170349764,4,7,3,0.008,4
33,8170371058,0,0,0,0.000,0
34,8170371058,0,0,0,0.000,0
35,8170371081,4,7,3,0.008,4
36,8170389846,0,0,0,0.000,0
37,8170389846,0,0,0,0.000,0
38,8170389872,4,7,3,0.008,4
39,8170409918,0,0,0,0.000,0
40,8170409918,0,0,0,0.000,0
41,8170409946,4,7,3,0.007,4
42,8170429847,0,0,0,0.000,0
43,8170429847,0,0,0,0.000,0
44,8170429878,4,7,3,0.005,4
45,8170449850,0,0,0,0.000,0
46,8170449850,0,0,0,0.000,0
47,8170449887,4,7,3,0.004,4
48,8170469812,0,0,0,0.000,0
49,8170469812,0,0,0,0.000,0
50,8170469853,4,7,3,0.003,4
51,8170489798,0,0,0,0.000,0
52,8170489798,0,0,0,0.000,0
53,8170489828,4,7,3,0.004,4
54,8170509853,0,0,0,0.000,0
55,8170509853,0,0,0,0.000,0
56,8170509887,4,7,3,0.007,4
57,8170529695,0,0,0,0.000,0
58,8170529695,0,0,0,0.000,0
59,8170529714,4,7,3,0.006,4
60,8170549748,0,0,0,0.000,0
61,8170549748,0,0,0,0.000,0
