frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,7855616341,0,0,0,0.000,0
1,7855616341,2,0,0,0.000,6
2,7855620981,17,7,78,16.143,4
3,7855680695,0,0,0,0.000,0
4,7855680695,0,0,0,0.000,0
5,7855680725,7,6,78,14.031,4
6,7855693748,0,0,0,0.000,0
7,7855693748,0,0,0,0.000,0
8,7855693777,4,6,3,0.010,4
9,7855714125,0,0,0,0.000,0
10,7855714125,0,0,0,0.000,0
11,7855714151,4,6,3,0.006,4
12,7855733571,0,0,0,0.000,0
13,7855733571,0,0,0,0.000,0
14,7855733606,4,6,3,0.005,4
15,7855753728,0,0,0,0.000,0
16,7855753728,0,0,0,0.000,0
17,7855753754,4,6,3,0.006,4
18,7855773547,0,0,0,0.000,0
19,7855773547,0,0,0,0.000,0
20,7855773577,4,6,3,0.006,4
21,7855793535,0,0,0,0.000,0
22,7855793535,0,0,0,0.000,0
23,7855793556,4,6,3,0.004,4
24,7855813559,0,0,0,0.000,0
25,7855813559,0,0,0,0.000,0
26,7855813582,4,6,3,0.004,4
27,7855834183,0,0,0,0.000,0
28,7855834183,0,0,0,0.000,0
29,7855834201,4,6,3,0.004,4
30,7855853608,0,0,0,0.000,0
31,7855853608,0,0,0,0.000,0
32,7855853624,4,6,3,0.003,4
33,7855874191,0,0,0,0.000,0
34,7855874191,0,0,0,0.000,0
35,7855874207,4,6,3,0.003,4
36,7855898938,0,0,0,0.000,0
37,7855898938,0,0,0,0.000,0
38,7855898954,4,6,3,0.004,4
39,7855913469,0,0,0,0.000,0
40,7855913469,0,0,0,0.000,0
41,7855913491,4,6,3,0.004,4
42,7855933336,0,0,0,0.000,0
43,7855933336,0,0,0,0.000,0
44,7855933361,4,6,3,0.003,4
45,7855953266,0,0,0,0.000,0
46,7855953266,0,0,0,0.000,0
47,7855953290,4,6,3,0.004,4
48,7855973174,0,0,0,0.000,0
49,7855973174,0,0,0,0.000,0
50,7855973198,4,6,3,0.003,4
51,7855993201,0,0,0,0.000,0
52,7855993201,0,0,0,0.000,0
53,7855993229,4,6,3,0.004,4
54,7856013284,0,0,0,0.000,0
55,7856013284,0,0,0,0.000,0
56,7856013312,4,6,3,0.011,4
57,7856033242,0,0,0,0.000,0
58,7856033242,0,0,0,0.000,0
59,7856033267,4,6,3,0.006,4
60,7856053204,0,0,0,0.000,0
61,7856053204,0,0,0,0.000,0
62,7856053231,4,6,3,0.004,4
63,7856073217,0,0,0,0.000,0
64,7856073217,0,0,0,0.000,0
65,7856073242,4,6,3,0.006,4
66,7856093208,0,0,0,0.000,0
67,7856093208,0,0,0,0.000,0
68,7856093234,4,6,3,0.006,4
69,7856113193,0,0,0,0.000,0
70,7856113193,0,0,0,0.000,0
71,7856113219,4,6,3,0.006,4
72,7856133182,0,0,0,0.000,0
73,7856133182,0,0,0,0.000,0
74,7856133208,4,6,3,0.004,4
75,7856153210,0,0,0,0.000,0
76,7856153210,0,0,0,0.000,0
77,7856153296,4,6,3,0.005,4
78,7856173185,0,0,0,0.000,0
79,7856173185,0,0,0,0.000,0
80,7856173211,4,6,3,0.005,4
81,7856193162,0,0,0,0.000,0
82,7856193162,0,0,0,0.000,0
83,7856193189,4,6,3,0.004,4
84,7856213163,0,0,0,0.000,0
85,7856213163,0,0,0,0.000,0
86,7856213189,4,6,3,0.005,4
87,7856233169,0,0,0,0.000,0
88,7856233169,0,0,0,0.000,0
89,7856233196,4,6,3,0.007,4
90,7856253470,0,0,0,0.000,0
91,7856253470,0,0,0,0.000,0
92,7856253491,4,6,3,0.006,4
93,7856273508,0,0,0,0.000,0
94,7856273508,0,0,0,0.000,0
95,7856273534,4,6,3,0.005,4
96,7856293283,0,0,0,0.000,0
97,7856293283,0,0,0,0.000,0
98,7856293309,4,6,3,0.006,4
99,7856313230,0,0,0,0.000,0
100,7856313230,0,0,0,0.000,0
101,7856313256,4,6,3,0.005,4
102,7856333205,0,0,0,0.000,0
103,7856333205,0,0,0,0.000,0
104,7856333231,4,6,3,0.006,4
105,7856353199,0,0,0,0.000,0
106,7856353199,0,0,0,0.000,0
107,7856353226,4,6,3,0.004,4
108,7856373319,0,0,0,0.000,0
109,7856373319,0,0,0,0.000,0
110,7856373352,4,6,3,0.006,4
111,7856393452,0,0,0,0.000,0
112,7856393452,0,0,0,0.000,0
113,7856393476,4,6,3,0.002,4
114,7856413431,0,0,0,0.000,0
115,7856413431,0,0,0,0.000,0
116,7856413453,4,6,3,0.003,4
117,7856433477,0,0,0,0.000,0
118,7856433477,0,0,0,0.000,0
119,7856433497,4,6,3,0.003,4
120,7856453430,0,0,0,0.000,0
121,7856453430,0,0,0,0.000,0
122,7856453448,4,6,3,0.002,4
123,7856473332,0,0,0,0.000,0
124,7856473332,0,0,0,0.000,0
125,7856473346,4,6,3,0.003,4
126,7856493363,0,0,0,0.000,0
127,7856493363,0,0,0,0.000,0
128,7856493387,4,6,3,0.006,4
129,7856513230,0,0,0,0.000,0
130,7856513230,0,0,0,0.000,0
131,7856513255,4,6,3,0.006,4
132,7856533296,0,0,0,0.000,0
133,7856533296,0,0,0,0.000,0
134,7856533317,4,6,3,0.006,4
135,7856553304,0,0,0,0.000,0
136,7856553304,0,0,0,0.000,0
137,7856553329,4,6,3,0.006,4
138,7856573243,0,0,0,0.000,0
139,7856573243,0,0,0,0.000,0
140,7856573266,4,6,3,0.004,4
141,7856593229,0,0,0,0.000,0
142,7856593229,0,0,0,0.000,0
143,7856593252,4,6,3,0.006,4
144,7856613284,0,0,0,0.000,0
145,7856613284,0,0,0,0.000,0
146,7856613306,4,6,3,0.006,4
147,7856633249,0,0,0,0.000,0
148,7856633249,0,0,0,0.000,0
149,7856633273,4,6,3,0.005,4
150,7856653280,0,0,0,0.000,0
151,7856653280,0,0,0,0.000,0
152,7856653302,4,6,3,0.005,4
153,7856673227,0,0,0,0.000,0
154,7856673227,0,0,0,0.000,0
155,7856673250,4,6,3,0.006,4
156,7856693196,0,0,0,0.000,0
157,7856693196,0,0,0,0.000,0
158,7856693217,4,6,3,0.004,4
159,7856713192,0,0,0,0.000,0
160,7856713192,0,0,0,0.000,0
161,7856713214,4,6,3,0.006,4
162,7856733201,0,0,0,0.000,0
163,7856733201,0,0,0,0.000,0
164,7856733223,4,6,3,0.006,4
165,7856753191,0,0,0,0.000,0
166,7856753191,0,0,0,0.000,0
167,7856753214,4,6,3,0.006,4
168,7856773195,0,0,0,0.000,0
169,7856773195,0,0,0,0.000,0
170,7856773217,4,6,3,0.006,4
171,7856793241,0,0,0,0.000,0
172,7856793241,0,0,0,0.000,0
173,7856793264,4,6,3,0.006,4
174,7856813265,0,0,0,0.000,0
175,7856813265,0,0,0,0.000,0
176,7856813287,4,6,3,0.006,4
177,7856833220,0,0,0,0.000,0
178,7856833220,0,0,0,0.000,0
179,7856833241,4,6,3,0.005,4
180,7856853258,0,0,0,0.000,0
181,7856853258,0,0,0,0.000,0
182,7856853282,4,6,3,0.003,4
183,7856873230,0,0,0,0.000,0
184,7856873230,0,0,0,0.000,0
185,7856873251,4,6,3,0.004,4
186,7856893215,0,0,0,0.000,0
187,7856893215,0,0,0,0.000,0
188,7856893238,4,6,3,0.005,4
189,7856913206,0,0,0,0.000,0
190,7856913206,0,0,0,0.000,0
191,7856913227,4,6,3,0.006,4
192,7856933194,0,0,0,0.000,0
193,7856933194,0,0,0,0.000,0
194,7856933225,4,6,3,0.006,4
195,7856953243,0,0,0,0.000,0
196,7856953243,0,0,0,0.000,0
197,7856953268,4,6,3,0.006,4
198,7856973507,0,0,0,0.000,0
199,7856973507,0,0,0,0.000,0
200,7856973533,4,6,3,0.006,4
201,7856993467,0,0,0,0.000,0
202,7856993467,0,0,0,0.000,0
203,7856993491,4,6,3,0.002,4
204,7857013442,0,0,0,0.000,0
205,7857013442,0,0,0,0.000,0
206,7857013467,4,6,3,0.006,4
207,7857033443,0,0,0,0.000,0
208,7857033443,0,0,0,0.000,0
209,7857033467,4,6,3,0.004,4
210,7857053431,0,0,0,0.000,0
211,7857053431,0,0,0,0.000,0
212,7857053463,4,6,3,0.004,4
213,7857073378,0,0,0,0.000,0
214,7857073378,0,0,0,0.000,0
215,7857073406,4,6,3,0.006,4
216,7857093492,0,0,0,0.000,0
217,7857093492,0,0,0,0.000,0
218,7857093524,4,6,3,0.006,4
219,7857113484,0,0,0,0.000,0
220,7857113484,0,0,0,0.000,0
221,7857113515,4,6,3,0.015,4
222,7857133452,0,0,0,0.000,0
223,7857133452,0,0,0,0.000,0
224,7857133484,4,6,3,0.006,4
225,7857153469,0,0,0,0.000,0
226,7857153469,0,0,0,0.000,0
227,7857153501,4,6,3,0.006,4
228,7857173458,0,0,0,0.000,0
229,7857173458,0,0,0,0.000,0
230,7857173488,4,6,3,0.006,4
231,7857193440,0,0,0,0.000,0
232,7857193440,0,0,0,0.000,0
233,7857193469,4,6,3,0.006,4
234,7857213451,0,0,0,0.000,0
235,7857213451,0,0,0,0.000,0
236,7857213484,4,6,3,0.006,4
