frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8036096448,0,0,0,0.000,0
1,8036096448,0,0,0,0.000,0
2,8036096460,15,7,270,50.331,4
3,8036133156,0,0,0,0.000,0
4,8036133156,0,0,0,0.000,0
5,8036133182,9,6,267,77.647,4
6,8036169276,0,0,0,0.000,0
7,8036169276,0,0,0,0.000,0
8,8036169299,9,6,19,2.340,4
9,8036190719,0,0,0,0.000,0
10,8036190719,0,0,0,0.000,0
11,8036190736,9,6,19,1.687,4
12,8036209894,0,0,0,0.000,0
13,8036209894,0,0,0,0.000,0
14,8036209917,9,6,11,1.135,4
15,8036234635,0,0,0,0.000,0
16,8036234635,0,0,0,0.000,0
17,8036234665,9,6,19,1.628,4
18,8036249037,0,0,0,0.000,0
19,8036249037,0,0,0,0.000,0
20,8036249048,9,6,19,1.402,4
21,8036269013,0,0,0,0.000,0
22,8036269013,0,0,0,0.000,0
23,8036269032,9,6,19,2.046,4
24,8036289136,0,0,0,0.000,0
25,8036289136,0,0,0,0.000,0
26,8036289157,9,6,11,0.599,4
27,8036309118,0,0,0,0.000,0
28,8036309118,0,0,0,0.000,0
29,8036309142,9,7,19,1.562,4
30,8036328924,0,0,0,0.000,0
31,8036328924,0,0,0,0.000,0
32,8036328949,9,7,11,1.773,4
33,8036348894,0,0,0,0.000,0
34,8036348894,0,0,0,0.000,0
35,8036348916,9,7,19,1.967,4
36,8036368911,0,0,0,0.000,0
37,8036368911,0,0,0,0.000,0
38,8036368937,9,6,19,1.709,4
39,8036388997,0,0,0,0.000,0
40,8036388997,0,0,0,0.000,0
41,8036389028,9,6,19,1.641,4
42,8036410184,0,0,0,0.000,0
43,8036410184,0,0,0,0.000,0
44,8036410210,9,6,11,0.570,4
45,8036429039,0,0,0,0.000,0
46,8036429039,0,0,0,0.000,0
47,8036429060,9,6,19,2.654,4
48,8036448927,0,0,0,0.000,0
49,8036448927,0,0,0,0.000,0
50,8036448948,9,6,19,1.697,4
51,8036468885,0,0,0,0.000,0
52,8036468885,0,0,0,0.000,0
53,8036468909,9,6,19,1.732,4
54,8036488879,0,0,0,0.000,0
55,8036488879,0,0,0,0.000,0
56,8036488900,9,6,11,0.626,4
57,8036508971,0,0,0,0.000,0
58,8036508971,0,0,0,0.000,0
59,8036508998,9,7,19,1.398,4
60,8036528917,0,0,0,0.000,0
61,8036528917,0,0,0,0.000,0
62,8036528938,9,7,19,2.679,4
63,8036548894,0,0,0,0.000,0
64,8036548894,0,0,0,0.000,0
65,8036548921,9,7,35,3.324,4
66,8036568861,0,0,0,0.000,0
67,8036568861,0,0,0,0.000,0
68,8036568888,9,6,35,3.365,4
69,8036588865,0,0,0,0.000,0
70,8036588865,0,0,0,0.000,0
71,8036588894,9,6,35,3.445,4
72,8036608884,0,0,0,0.000,0
73,8036608884,0,0,0,0.000,0
74,8036608912,9,6,19,0.887,4
75,8036628884,0,0,0,0.000,0
76,8036628884,0,0,0,0.000,0
77,8036628912,9,6,35,4.248,4
78,8036648925,0,0,0,0.000,0
79,8036648925,0,0,0,0.000,0
80,8036649030,9,6,35,3.102,4
81,8036668908,0,0,0,0.000,0
82,8036668908,0,0,0,0.000,0
83,8036668938,9,6,35,3.042,4
84,8036688861,0,0,0,0.000,0
85,8036688861,0,0,0,0.000,0
86,8036688889,9,6,19,0.826,4
87,8036708842,0,0,0,0.000,0
88,8036708842,0,0,0,0.000,0
89,8036708870,9,7,35,2.209,4
90,8036728834,0,0,0,0.000,0
91,8036728834,0,0,0,0.000,0
92,8036728861,9,7,11,1.299,4
93,8036748910,0,0,0,0.000,0
94,8036748910,0,0,0,0.000,0
95,8036748941,9,7,19,1.586,4
96,8036769167,0,0,0,0.000,0
97,8036769167,0,0,0,0.000,0
98,8036769191,9,6,19,1.185,4
99,8036789068,0,0,0,0.000,0
100,8036789068,0,0,0,0.000,0
101,8036789088,9,6,19,1.038,4
102,8036809071,0,0,0,0.000,0
