frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,9291726100,0,0,0,0.000,0
1,9291726100,0,0,0,0.000,0
2,9291726424,9,7,1,0.002,6
3,9291729932,0,0,0,0.000,0
4,9291729932,0,0,0,0.000,0
5,9291730639,15,6,0,0.000,5
6,9291750071,0,0,0,0.000,0
7,9291750071,0,0,0,0.000,0
8,9291750101,33,13,235,97.940,12
9,9291770136,0,0,0,0.000,0
10,9291770136,0,0,0,0.000,0
11,9291770173,26,13,593,367.984,9
12,9291875324,0,0,0,0.000,0
13,9291875324,0,0,0,0.000,0
14,9291875350,26,13,335,217.768,9
15,9291916201,0,0,0,0.000,0
16,9291916201,0,0,0,0.000,0
17,9291916242,26,13,333,203.724,9
18,9291956512,0,0,0,0.000,0
19,9291956512,0,0,0,0.000,0
20,9291956541,27,13,333,163.242,9
21,9291996977,0,0,0,0.000,0
22,9291996977,0,0,0,0.000,0
23,9291997021,26,13,334,205.938,9
24,9292038193,0,0,0,0.000,0
25,9292038193,0,0,0,0.000,0
26,9292038212,26,13,334,197.277,9
27,9292078627,0,0,0,0.000,0
28,9292078627,0,0,0,0.000,0
29,9292078663,26,13,334,166.828,9
30,9292119103,0,0,0,0.000,0
31,9292119103,0,0,1,0.012,0
32,9292120036,26,13,333,167.888,9
33,9292159294,0,0,0,0.000,0
34,9292159294,0,0,0,0.000,0
35,9292159333,26,13,334,165.406,9
36,9292199791,0,0,0,0.000,0
37,9292199791,0,0,0,0.000,0
38,9292199867,26,13,334,156.182,9
39,9292240181,0,0,0,0.000,0
40,9292240181,0,0,0,0.000,0
41,9292240221,26,13,334,172.289,9
42,9292281283,0,0,0,0.000,0
43,9292281283,0,0,0,0.000,0
44,9292281349,26,13,334,138.778,9
45,9292305511,0,0,0,0.000,0
46,9292305511,0,0,1,0.007,0
47,9292305720,26,13,333,185.713,9
48,9292335633,0,0,0,0.000,0
49,9292335633,0,0,0,0.000,0
50,9292335701,26,13,333,250.551,9
51,9292373698,0,0,0,0.000,0
52,9292373698,0,0,0,0.000,0
53,9292373734,26,13,334,183.328,9
54,9292405890,0,0,0,0.000,0
55,9292405890,0,0,0,0.000,0
56,9292405916,26,13,334,130.103,9
57,9292433813,0,0,0,0.000,0
58,9292433813,0,0,0,0.000,0
59,9292433857,26,13,334,161.166,9
60,9292473330,0,0,0,0.000,0
61,9292473330,0,0,0,0.000,0
62,9292473373,26,13,334,180.173,9
63,9292514108,0,0,0,0.000,0
64,9292514108,0,0,0,0.000,0
65,9292514166,26,13,334,178.666,9
66,9292555481,0,0,0,0.000,0
67,9292555481,0,0,0,0.000,0
68,9292555516,26,13,326,175.139,9
69,9292592774,0,0,0,0.000,0
70,9292592774,0,0,0,0.000,0
71,9292592846,26,13,334,166.344,9
72,9292635967,0,0,0,0.000,0
73,9292635967,0,0,0,0.000,0
74,9292636022,26,13,334,143.241,9
75,9292671444,0,0,0,0.000,0
76,9292671444,0,0,0,0.000,0
77,9292671504,26,13,334,179.319,9
78,9292712456,0,0,0,0.000,0
79,9292712456,0,0,0,0.000,0
80,9292712523,26,13,334,181.644,9
81,9292755074,0,0,0,0.000,0
82,9292755074,0,0,0,0.000,0
83,9292755135,27,13,334,176.695,9
84,9292792804,0,0,0,0.000,0
85,9292792804,0,0,0,0.000,0
86,9292792851,26,13,334,176.033,9
87,9292831737,0,0,0,0.000,0
88,9292831737,0,0,0,0.000,0
89,9292831918,26,13,334,178.081,9
90,9292871236,0,0,0,0.000,0
91,9292871236,0,0,0,0.000,0
92,9292871385,26,13,334,167.401,9
93,9292912377,0,0,0,0.000,0
94,9292912377,0,0,0,0.000,0
95,9292912468,26,13,334,180.290,9
96,9292951519,0,0,0,0.000,0
97,9292951519,0,0,1,0.012,0
98,9292952935,27,13,333,176.020,9
99,9292994189,0,0,0,0.000,0
100,9292994189,0,0,1,0.006,0
101,9292995080,26,13,333,174.388,9
102,9293035130,0,0,0,0.000,0
103,9293035130,0,0,0,0.000,0
104,9293035198,26,13,334,166.990,9
105,9293074280,0,0,0,0.000,0
106,9293074280,0,0,1,0.007,0
107,9293075242,26,13,333,192.415,9
108,9293114379,0,0,0,0.000,0
109,9293114379,0,0,0,0.000,0
110,9293114419,26,13,334,162.392,9
111,9293156580,0,0,0,0.000,0
112,9293156580,0,0,1,0.006,0
113,9293156830,26,13,333,181.595,9
114,9293193392,0,0,0,0.000,0
115,9293193392,0,0,0,0.000,0
116,9293193442,26,13,334,181.172,9
117,9293234260,0,0,0,0.000,0
118,9293234260,0,0,1,0.007,0
119,9293235094,26,13,333,177.284,9
120,9293273181,0,0,0,0.000,0
121,9293273181,0,0,1,0.007,0
122,9293274053,26,13,333,157.103,9
123,9293312121,0,0,0,0.000,0
124,9293312121,0,0,1,0.017,0
125,9293316052,26,13,325,175.156,9
126,9293358219,0,0,0,0.000,0
127,9293358219,0,0,0,0.000,0
128,9293358258,26,13,334,168.764,9
129,9293395203,0,0,0,0.000,0
130,9293395203,0,0,0,0.000,0
131,9293395244,26,13,334,170.163,9
132,9293435145,0,0,0,0.000,0
133,9293435145,0,0,0,0.000,0
134,9293435181,26,13,334,182.512,9
135,9293474058,0,0,0,0.000,0
136,9293474058,0,0,0,0.000,0
137,9293474105,26,13,334,192.093,9
138,9293516748,0,0,0,0.000,0
139,9293516748,0,0,1,0.006,0
140,9293517687,26,13,333,166.612,9
141,9293556208,0,0,0,0.000,0
142,9293556208,0,0,0,0.000,0
