wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
24776869883,0,0,29722,29722,1
24776890056,0,0,3863,20168,1
24776910206,0,0,6652,20148,1
24776930346,0,0,572,20137,1
24776950437,0,0,164,20088,1
24776977545,0,1,8363,27104,0
24776997636,0,1,246,20086,1
24777017722,0,1,193,20081,1
24777023599,46054,2,947,5872,0
24777043957,0,2,377,20102,1
24777049993,26393,3,1144,6031,0
24777074781,24788,4,1046,24783,0
24777096529,21747,5,1483,21743,0
24777116623,0,5,197,20088,1
24777122320,25790,6,870,5692,0
24777151412,29092,7,1846,22533,0
24777171496,0,7,430,20080,1
24777177043,25630,8,720,5541,0
24777215368,38325,9,3045,23155,0
24777235447,0,9,1904,20072,1
24777244678,29309,10,4360,9226,0
24777269778,25100,11,1085,21590,0
24777288550,18771,12,991,18766,0
24777308111,19561,13,999,18121,0
24777331649,23538,14,919,21584,0
24777352027,20378,15,996,20374,0
24777370665,18637,16,1177,18633,0
24777393052,22387,17,1027,21791,0
24777414804,21752,18,970,21747,0
24777436387,21582,19,914,21577,0
24777457998,21610,20,969,21605,0
24777479606,21608,21,938,21594,0
24777501207,21601,22,968,21596,0
24777522880,21673,23,993,21668,0
24777544456,21575,24,918,21571,0
24777566065,21608,25,963,21603,0
24777584249,18184,26,1049,18172,0
24777606045,21795,27,1031,21790,0
24777624253,18207,28,1044,18198,0
24777646026,21773,29,1023,21766,0
24777664123,18097,30,945,18092,0
24777685900,21777,31,1045,21772,0
24777707665,21765,32,1050,21760,0
24777729874,22208,33,1525,22203,0
24777751518,21644,34,1006,21639,0
24777773294,21776,35,1034,21771,0
24777794908,21614,36,908,21610,0
24777814919,20010,37,1059,20005,0
24777836801,21882,38,1135,21876,0
24777858460,21658,39,978,21652,0
24777878536,0,39,177,20071,1
24777889307,30847,40,1325,10765,0
24777920507,31200,41,1087,21761,0
24777938688,18180,42,993,18175,0
24777958671,19982,43,951,18082,0
24777976771,18100,44,959,18094,0
24777996841,20069,45,959,18091,0
24778018622,21781,46,1035,21776,0
24778040393,21770,47,1026,21765,0
24778062078,21684,48,988,21679,0
24778083715,21636,49,991,21632,0
24778105332,21617,50,969,21612,0
24778123444,18111,51,985,18106,0
24778145221,21776,52,1091,21771,0
24778166939,21718,53,1022,21713,0
24778185065,18126,54,1016,18121,0
24778210119,25053,55,1887,23093,0
24778231805,21685,56,985,21680,0
24778253465,21660,57,946,21656,0
24778275122,21657,58,983,21651,0
24778294719,19596,59,998,19591,0
24778313327,18607,60,1005,18128,0
24778334865,21538,61,991,19591,0
24778352995,18129,62,985,18123,0
24778374777,21781,63,987,19833,0
24778396657,21880,64,977,21634,0
24778416941,20284,65,975,20279,0
24778435083,18141,66,1040,18137,0
24778458628,23545,67,953,21606,0
24778480287,21658,68,982,21653,0
24778501934,21647,69,994,21642,0
24778523570,21635,70,974,21631,0
24778543036,19465,71,956,19460,0
24778565305,22269,72,983,21655,0
24778586960,21654,73,990,21649,0
24778609546,22586,74,1631,22581,0
24778627982,18435,75,959,18428,0
24778651243,23261,76,988,21608,0
24778669407,18163,77,964,18159,0
24778690500,21093,78,887,21087,0
24778708592,18091,79,966,18086,0
24778716390,7798,80,918,5809,0
24778749055,32664,81,996,18188,0
24778767779,18724,82,1010,18718,0
24778787511,19732,83,1190,18368,0
24778795094,7582,84,955,5875,0
24778827895,32801,85,994,18378,0
24778846024,18128,86,981,18123,0
24778866110,20085,87,992,18126,0
24778890079,23969,88,6301,22051,0
24778911321,21242,89,1242,21237,0
24778932961,21639,90,1335,21633,0
24778951069,18108,91,981,18103,0
24778971309,20240,92,1140,18281,0
24778991219,19910,93,989,18117,0
24779009409,18189,94,1088,18184,0
24779029380,19970,95,945,18083,0
24779049496,20116,96,1018,18127,0
24779069729,20233,97,1148,18276,0
24779088320,18591,98,1097,18585,0
24779108011,19691,99,1080,18206,0
24779115721,7709,100,945,5840,0
24779148267,32546,101,948,18092,0
24779166217,17949,102,895,17943,0
24779186468,20251,103,982,18120,0
24779194248,7780,104,928,5828,0
24779226857,32608,105,978,18155,0
24779244959,18102,106,973,18097,0
24779266204,21244,107,1004,19264,0
24779287097,20893,108,976,20080,0
24779308861,21763,109,1020,21755,0
24779326969,18107,110,965,18102,0
24779347045,20075,111,962,18099,0
24779367315,20269,112,975,18291,0
24779387348,20033,113,976,18240,0
24779409279,21931,114,1383,21925,0
24779431013,21733,115,1054,21727,0
24779449368,18354,116,1184,18349,0
24779472843,23475,117,991,21750,0
24779490934,18091,118,952,18085,0
24779514574,23639,119,1003,21651,0
