sample_ts,pid,tid,pcpu,stat,comm
1783525933,2183851,2183851,13.0,Sl,bg_engine
1783525933,2183851,2183853,0.0,Sl,HangWatcher
1783525933,2183851,2183859,0.0,Sl,PerfettoTrace
1783525933,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525933,2183851,2183861,72.0,Rl,ThreadPoolForeg
1783525933,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525933,2183851,2183863,68.4,Rl,ThreadPoolForeg
1783525933,2183851,2183867,4.4,Sl,Compositor
1783525933,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525933,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525934,2183851,2183851,12.7,Rl,bg_engine
1783525934,2183851,2183853,0.0,Sl,HangWatcher
1783525934,2183851,2183859,0.0,Sl,PerfettoTrace
1783525934,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525934,2183851,2183861,70.5,Sl,ThreadPoolForeg
1783525934,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525934,2183851,2183863,67.3,Sl,ThreadPoolForeg
1783525934,2183851,2183867,4.3,Rl,Compositor
1783525934,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525934,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525935,2183851,2183851,12.6,Sl,bg_engine
1783525935,2183851,2183853,0.0,Sl,HangWatcher
1783525935,2183851,2183859,0.0,Sl,PerfettoTrace
1783525935,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525935,2183851,2183861,69.5,Rl,ThreadPoolForeg
1783525935,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525935,2183851,2183863,66.3,Rl,ThreadPoolForeg
1783525935,2183851,2183867,4.3,Sl,Compositor
1783525935,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525935,2183851,2183870,1.6,Sl,ThreadPoolForeg
1783525936,2183851,2183851,13.0,Sl,bg_engine
1783525936,2183851,2183853,0.0,Sl,HangWatcher
1783525936,2183851,2183859,0.0,Sl,PerfettoTrace
1783525936,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525936,2183851,2183861,71.0,Rl,ThreadPoolForeg
1783525936,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525936,2183851,2183863,67.6,Rl,ThreadPoolForeg
1783525936,2183851,2183867,4.3,Sl,Compositor
1783525936,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525936,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525937,2183851,2183851,12.9,Sl,bg_engine
1783525937,2183851,2183853,0.0,Sl,HangWatcher
1783525937,2183851,2183859,0.0,Sl,PerfettoTrace
1783525937,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525937,2183851,2183861,72.3,Rl,ThreadPoolForeg
1783525937,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525937,2183851,2183863,69.0,Rl,ThreadPoolForeg
1783525937,2183851,2183867,4.2,Sl,Compositor
1783525937,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525937,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525938,2183851,2183851,12.9,Sl,bg_engine
1783525938,2183851,2183853,0.0,Sl,HangWatcher
1783525938,2183851,2183859,0.0,Sl,PerfettoTrace
1783525938,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525938,2183851,2183861,71.8,Rl,ThreadPoolForeg
1783525938,2183851,2183862,0.2,Sl,Chrome_ChildIOT
1783525938,2183851,2183863,68.3,Rl,ThreadPoolForeg
1783525938,2183851,2183867,4.3,Sl,Compositor
1783525938,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525938,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525939,2183851,2183851,12.7,Sl,bg_engine
1783525939,2183851,2183853,0.0,Sl,HangWatcher
1783525939,2183851,2183859,0.0,Sl,PerfettoTrace
1783525939,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525939,2183851,2183861,72.0,Rl,ThreadPoolForeg
1783525939,2183851,2183862,0.2,Sl,Chrome_ChildIOT
1783525939,2183851,2183863,68.6,Rl,ThreadPoolForeg
1783525939,2183851,2183867,4.2,Sl,Compositor
1783525939,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525939,2183851,2183870,1.4,Sl,ThreadPoolForeg
1783525940,2183851,2183851,13.0,Sl,bg_engine
1783525940,2183851,2183853,0.0,Sl,HangWatcher
1783525940,2183851,2183859,0.0,Sl,PerfettoTrace
1783525940,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525940,2183851,2183861,72.9,Rl,ThreadPoolForeg
1783525940,2183851,2183862,0.2,Sl,Chrome_ChildIOT
1783525940,2183851,2183863,69.5,Rl,ThreadPoolForeg
1783525940,2183851,2183867,4.2,Sl,Compositor
1783525940,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525940,2183851,2183870,1.4,Sl,ThreadPoolForeg
1783525941,2183851,2183851,13.3,Sl,bg_engine
1783525941,2183851,2183853,0.0,Sl,HangWatcher
1783525941,2183851,2183859,0.0,Sl,PerfettoTrace
1783525941,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525941,2183851,2183861,74.0,Rl,ThreadPoolForeg
1783525941,2183851,2183862,0.2,Sl,Chrome_ChildIOT
1783525941,2183851,2183863,70.7,Rl,ThreadPoolForeg
1783525941,2183851,2183867,4.3,Sl,Compositor
1783525941,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525941,2183851,2183870,1.4,Sl,ThreadPoolForeg
1783525942,2183851,2183851,13.1,Sl,bg_engine
1783525942,2183851,2183853,0.0,Sl,HangWatcher
1783525942,2183851,2183859,0.0,Sl,PerfettoTrace
1783525942,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525942,2183851,2183861,72.9,Sl,ThreadPoolForeg
1783525942,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525942,2183851,2183863,69.5,Sl,ThreadPoolForeg
1783525942,2183851,2183867,4.2,Sl,Compositor
1783525942,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525942,2183851,2183870,1.4,Sl,ThreadPoolForeg
1783525943,2183851,2183851,13.1,Sl,bg_engine
1783525943,2183851,2183853,0.0,Sl,HangWatcher
1783525943,2183851,2183859,0.0,Sl,PerfettoTrace
1783525943,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525943,2183851,2183861,72.2,Rl,ThreadPoolForeg
1783525943,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525943,2183851,2183863,68.8,Rl,ThreadPoolForeg
1783525943,2183851,2183867,4.2,Sl,Compositor
1783525943,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525943,2183851,2183870,1.4,Sl,ThreadPoolForeg
1783525944,2183851,2183851,13.2,Sl,bg_engine
1783525944,2183851,2183853,0.0,Sl,HangWatcher
1783525944,2183851,2183859,0.0,Sl,PerfettoTrace
1783525944,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525944,2183851,2183861,73.1,Rl,ThreadPoolForeg
1783525944,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525944,2183851,2183863,69.6,Rl,ThreadPoolForeg
1783525944,2183851,2183867,4.2,Sl,Compositor
1783525944,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525944,2183851,2183870,1.3,Sl,ThreadPoolForeg
1783525945,2183851,2183851,13.4,Rl,bg_engine
1783525945,2183851,2183853,0.0,Sl,HangWatcher
1783525945,2183851,2183859,0.0,Sl,PerfettoTrace
1783525945,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525945,2183851,2183861,73.7,Rl,ThreadPoolForeg
1783525945,2183851,2183862,0.1,Sl,Chrome_ChildIOT
1783525945,2183851,2183863,70.1,Rl,ThreadPoolForeg
1783525945,2183851,2183867,4.3,Sl,Compositor
1783525945,2183851,2183869,0.0,Sl,ThreadPoolSingl
1783525945,2183851,2183870,1.5,Sl,ThreadPoolForeg
1783525946,2183851,2183851,13.4,Sl,bg_engine
1783525946,2183851,2183853,0.0,Sl,HangWatcher
1783525946,2183851,2183859,0.0,Sl,PerfettoTrace
1783525946,2183851,2183860,0.0,Sl,ThreadPoolServi
1783525946,2183851,2183861,72.9,Rl,ThreadPoolForeg
1783525946,2183851,2183862,0.2,Sl,Chrome_ChildIOT
1783525946,2183851,2183863,69.4,Rl,ThreadPoolForeg
1783525946,2183851,2183867,4.3,Sl,Compositor
