wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
24684783509,0,0,39164,32603,1
24684810586,0,0,4012,147,1
24684827818,0,0,783,42,1
24684844519,0,0,166,13,1
24684863990,0,0,448,26,1
24684884240,0,0,1743,15,1
24684905571,0,0,5469,13,1
24684929286,0,1,285,21,0
24684944124,0,1,897,13,1
24684964733,35447,2,1084,23,0
24684985290,20557,3,331,25,0
24685004175,0,3,785,18,1
24685024602,39311,4,1095,24,0
24685044908,20306,5,1136,23,0
24685064997,20089,6,1569,24,0
24685085390,20393,7,639,21,0
24685104770,0,7,2621,16,1
24685126455,41064,8,4965,52,0
24685148781,22326,9,305,22,0
24685164062,0,9,795,13,1
24685184620,35838,10,974,22,0
24685204832,20212,11,971,21,0
24685224819,19987,12,971,21,0
24685244817,19998,13,914,21,0
24685264762,19944,14,917,23,0
24685284763,20001,15,934,22,0
24685304782,20018,16,916,22,0
24685324762,19979,17,967,26,0
24685344811,20049,18,968,21,0
24685364812,20000,19,929,23,0
24685384773,19960,20,976,24,0
24685404817,20043,21,984,23,0
24685424818,20001,22,920,23,0
24685444753,19935,23,973,23,0
24685464818,20064,24,908,22,0
24685484752,19934,25,916,23,0
24685504761,20008,26,1008,24,0
24685524857,20095,27,927,24,0
24685544773,19916,28,948,24,0
24685564795,20021,29,913,24,0
24685584759,19963,30,1002,25,0
24685604846,20087,31,912,24,0
24685624774,19927,32,928,24,0
24685644774,20000,33,938,23,0
24685664804,20029,34,1017,23,0
24685686015,21210,35,147,30,0
24685703980,0,35,856,19,1
24685724647,38632,36,1020,28,0
24685747210,22562,37,184,20,0
24685764032,0,37,750,17,1
24685784558,37347,38,912,19,0
24685804769,20210,39,1037,24,0
24685824884,20115,40,897,26,0
24685845819,20935,41,924,18,0
24685865102,19282,42,894,23,0
24685884732,19630,43,897,22,0
24685904740,20008,44,906,18,0
24685924755,20014,45,939,22,0
24685944772,20017,46,890,19,0
24685964728,19955,47,897,18,0
24685984736,20008,48,890,19,0
24686004728,19991,49,888,18,0
24686024726,19997,50,894,18,0
24686044749,20023,51,912,25,0
24686064761,20011,52,910,24,0
24686084759,19998,53,910,23,0
24686104760,20000,54,894,23,0
24686124740,19980,55,914,23,0
24686144766,20025,56,909,23,0
24686164755,19989,57,920,23,0
24686184767,20011,58,907,23,0
24686204749,19982,59,941,24,0
24686224790,20041,60,908,24,0
24686244742,19951,61,945,24,0
24686264784,20042,62,1126,23,0
24686284980,20196,63,960,25,0
24686304780,19799,64,895,24,0
24686324728,19948,65,916,23,0
24686344764,20035,66,1071,24,0
24686364923,20159,67,885,23,0
24686384724,19800,68,853,18,0
24686404693,19969,69,914,19,0
24686424760,20066,70,907,22,0
24686444746,19985,71,907,23,0
24686464751,20005,72,921,24,0
24686484765,20013,73,990,23,0
24686504835,20070,74,1010,23,0
24686524852,20016,75,917,23,0
24686544765,19913,76,923,19,0
24686564764,19998,77,927,22,0
24686584736,19972,78,923,26,0
24686604765,20029,79,908,24,0
24686624748,19982,80,916,23,0
24686644761,20012,81,921,23,0
24686664755,19994,82,933,22,0
24686684775,20019,83,1050,23,0
24686704919,20144,84,995,38,0
24686724971,20051,85,1064,150,0
24686744767,19796,86,910,20,0
24686764752,19984,87,968,20,0
24686784813,20060,88,1914,22,0
24686805825,21012,89,2082,30,0
24686825907,20082,90,1002,27,0
24686844841,18934,91,862,25,0
24686864680,19838,92,1079,20,0
24686884926,20245,93,942,21,0
24686904779,19852,94,972,19,0
24686926995,22216,95,953,24,0
24686944758,17762,96,1152,23,0
24686965224,20466,97,1002,36,0
24686984833,19608,98,1084,24,0
24687005797,20963,99,1207,20,0
24687025046,19249,100,904,25,0
24687044742,19695,101,940,18,0
24687064786,20043,102,917,23,0
24687084758,19971,103,911,24,0
24687104752,19994,104,906,23,0
24687124753,20000,105,908,24,0
24687144755,20002,106,995,24,0
24687164846,20090,107,906,24,0
24687184759,19913,108,942,23,0
24687206267,21507,109,1030,23,0
24687224868,18601,110,1074,25,0
24687244905,20036,111,1029,24,0
24687264905,19999,112,958,26,0
24687284794,19889,113,956,20,0
24687304796,20001,114,936,20,0
24687324787,19990,115,982,19,0
24687344831,20043,116,904,19,0
24687364755,19924,117,890,19,0
24687384737,19982,118,896,19,0
24687404733,19996,119,914,18,0
24687424762,20029,120,907,18,0
24687444750,19987,121,928,18,0
24687464784,20034,122,928,19,0
24687484784,19999,123,941,19,0
24687504790,20006,124,184,24,0
24687524043,0,124,848,18,1
24687544667,39877,125,1042,27,0
24687564875,20207,126,187,31,0
24687584029,0,126,806,14,1
24687604627,39752,127,978,27,0
24687624822,20194,128,991,22,0
24687644830,20007,129,926,21,0
24687664781,19951,130,912,24,0
24687684752,19971,131,904,19,0
24687704742,19989,132,1159,18,0
24687727272,22530,133,186,29,0
24687745565,0,133,882,16,1
24687764696,37424,134,974,24,0
24687784842,20145,135,971,23,0
24687804815,19973,136,897,24,0
24687824743,19927,137,170,25,0
24687844016,0,137,782,20,1
24687864596,39852,138,155,22,0
24687883990,0,138,794,13,1
24687904591,39995,139,155,31,0
24687923988,0,139,841,13,1
24687944630,40039,140,926,26,0
24687964771,20140,141,188,25,0
24687984042,0,141,822,17,1
24688004659,39888,142,207,32,0
24688024040,0,142,863,21,1
24688044714,40054,143,980,35,0
24688064836,20122,144,178,24,0
24688084024,0,144,774,13,1
24688104604,39767,145,967,24,0
24688124832,20227,146,976,23,0
24688144825,19993,147,160,25,0
24688163999,0,147,799,13,1
24688184615,39790,148,164,28,0
24688204174,0,148,820,13,1
24688224655,40040,149,176,39,0
24688244031,0,149,841,20,1
24688264676,40021,150,997,29,0
24688284886,20209,151,969,53,0
24688304818,19932,152,163,23,0
24688324019,0,152,778,26,1
24688344592,39773,153,150,23,0
24688363984,0,153,828,14,1
24688384662,40070,154,153,30,0
24688403989,0,154,780,18,1
24688424596,39933,155,1015,20,0
24688444907,20310,156,166,57,0
24688464012,0,156,781,19,1
24688484592,39685,157,152,22,0
24688503988,0,157,829,13,1
24688524632,40039,158,944,29,0
24688544813,20181,159,975,22,0
24688564822,20008,160,161,23,0
24688584017,0,160,782,20,1
24688604591,39769,161,967,20,0
24688624829,20237,162,984,24,0
24688644834,20005,163,154,23,0
24688663990,0,163,779,14,1
24688684599,39764,164,944,28,0
24688704793,20194,165,962,22,0
24688724813,20019,166,956,23,0
24688744807,19993,167,934,23,0
24688765922,21114,168,149,19,0
24688783983,0,168,919,17,1
24688804712,38789,169,1071,23,0
24688824934,20222,170,1139,23,0
24688845086,20152,171,1104,24,0
24688864960,19873,172,845,21,0
24688884652,19691,173,952,19,0
24688904782,20130,174,153,23,0
24688923989,0,174,781,13,1
24688944554,39772,175,944,21,0
24688964804,20249,176,971,24,0
24688984821,20017,177,977,24,0
24689004823,20001,178,974,24,0
24689024823,19999,179,977,24,0
24689044824,20001,180,977,23,0
24689064889,20064,181,156,23,0
24689083985,0,181,778,13,1
24689104591,39702,182,153,21,0
24689123991,0,182,774,14,1
24689144567,39975,183,159,32,0
24689163991,0,183,829,13,1
24689184662,40094,184,160,28,0
24689203991,0,184,831,13,1
24689224674,40012,185,975,32,0
24689247106,22432,186,161,26,0
24689263989,0,186,780,14,1
24689284554,37448,187,1289,18,0
24689305139,20584,188,987,24,0
24689324824,19684,189,1119,19,0
24689344995,20171,190,903,27,0
24689364720,19725,191,895,20,0
24689384746,20025,192,947,19,0
24689404804,20057,193,916,25,0
24689424770,19965,194,903,33,0
24689444711,19941,195,894,25,0
24689464740,20028,196,974,22,0
24689484814,20074,197,976,24,0
24689504822,20007,198,1128,24,0
24689527151,22328,199,967,26,0
24689547607,20455,200,174,20,0
24689563977,0,200,789,21,1
24689584611,37004,201,978,22,0
24689604819,20207,202,904,23,0
24689624752,19933,203,894,25,0
24689644738,19986,204,909,25,0
24689664754,20015,205,889,24,0
24689684730,19976,206,977,22,0
24689704818,20087,207,910,24,0
24689724756,19938,208,898,24,0
24689744748,19991,209,912,24,0
24689764764,20016,210,1354,24,0
24689785200,20435,211,916,26,0
24689804766,19565,212,943,18,0
24689824746,19979,213,997,18,0
24689844851,20105,214,988,21,0
24689864837,19985,215,921,21,0
24689884777,19940,216,1009,22,0
24689904857,20080,217,990,23,0
24689924834,19977,218,907,24,0
24689944757,19922,219,939,25,0
24689964774,20016,220,924,24,0
24689984734,19960,221,989,24,0
24690004823,20089,222,958,23,0
24690024799,19975,223,920,27,0
24690044765,19965,224,899,18,0
24690064741,19976,225,878,18,0
24690084714,19972,226,888,19,0
24690104729,20015,227,886,18,0
24690124733,20003,228,989,20,0
24690144840,20107,229,898,24,0
24690164754,19913,230,889,22,0
24690184733,19979,231,876,18,0
24690204716,19982,232,923,18,0
24690224771,20055,233,923,18,0
24690244766,19994,234,888,19,0
24690264725,19959,235,890,18,0
24690284731,20005,236,882,18,0
24690304721,19990,237,883,19,0
24690324727,20005,238,876,18,0
24690344714,19987,239,910,18,0
24690364751,20036,240,906,18,0
24690384727,19976,241,951,18,0
24690404793,20066,242,961,23,0
24690424816,20023,243,948,24,0
24690444802,19985,244,966,24,0
24690465666,20863,245,1060,28,0
24690484871,19205,246,924,23,0
24690504781,19909,247,1001,24,0
24690524841,20059,248,961,23,0
24690544806,19964,249,1135,23,0
24690564980,20174,250,1105,21,0
24690584929,19948,251,897,27,0
24690604740,19811,252,919,23,0
24690624765,20024,253,1012,23,0
24690644859,20094,254,997,23,0
24690664848,19988,255,934,23,0
24690684770,19922,256,927,23,0
24690704766,19995,257,953,22,0
24690724795,20028,258,1005,21,0
24690744864,20069,259,1003,23,0
24690764889,20025,260,1002,23,0
24690784852,19962,261,1030,21,0
24690804877,20025,262,1016,21,0
24690824862,19985,263,1023,21,0
24690845015,20152,264,992,25,0
24690864837,19821,265,1002,21,0
24690884851,20014,266,1188,21,0
24690907153,22301,267,1039,29,0
24690925637,18483,268,913,23,0
24690944760,19123,269,993,22,0
24690964840,20079,270,943,24,0
24690984821,19981,271,1059,23,0
24691004908,20086,272,901,23,0
24691024748,19839,273,886,23,0
24691044727,19979,274,908,23,0
24691064758,20031,275,990,23,0
24691084842,20084,276,844,24,0
24691104689,19846,277,895,24,0
24691124703,20013,278,998,22,0
24691144863,20160,279,904,37,0
24691164749,19885,280,990,23,0
24691184834,20084,281,150,26,0
24691203985,0,281,910,15,1
24691224688,39854,282,133,25,0
24691243975,0,282,841,14,1
24691264631,39942,283,968,21,0
24691284824,20193,284,170,25,0
24691304018,0,284,755,13,1
24691324564,39740,285,888,18,0
24691344744,20179,286,883,24,0
24691364731,19986,287,892,23,0
24691384747,20016,288,897,24,0
24691404743,19996,289,891,24,0
24691424740,19997,290,890,23,0
24691444734,19993,291,902,24,0
24691464746,20012,292,899,24,0
24691484742,19996,293,909,23,0
24691504754,20011,294,915,24,0
24691524760,20005,295,902,24,0
24691544747,19986,296,905,23,0
24691564748,20001,297,918,24,0
24691584769,20020,298,907,24,0
24691604753,19983,299,957,25,0
24691624797,20044,300,1007,23,0
24691644847,20049,301,167,24,0
24691664018,0,301,782,27,1
24691684633,39786,302,990,28,0
24691704834,20200,303,964,24,0
24691724813,19979,304,151,23,0
24691743981,0,304,804,12,1
24691764627,39814,305,186,23,0
24691784030,0,305,798,14,1
24691804593,39965,306,149,31,0
24691826347,0,306,821,13,1
24691844635,40042,307,139,28,0
24691864288,0,307,818,14,1
24691884631,39995,308,912,22,0
24691904768,20136,309,960,18,0
24691924806,20037,310,981,22,0
24691944849,20042,311,161,38,0
24691963988,0,311,818,12,1
24691984645,39796,312,160,23,0
24692003998,0,312,825,13,1
24692024667,40021,313,194,30,0
24692044023,0,313,856,35,1
24692064672,40005,314,188,30,0
24692083982,0,314,832,13,1
24692104700,40028,315,196,34,0
24692124056,0,315,872,17,1
24692144724,40023,316,224,35,0
24692164084,0,316,868,22,1
24692184716,39992,317,214,35,0
24692204100,0,317,906,28,1
24692224747,40030,318,966,34,0
24692244824,20077,319,975,23,0
24692264827,20002,320,979,24,0
24692284830,20003,321,970,24,0
24692304820,19989,322,975,24,0
24692324823,20003,323,969,24,0
24692344814,19991,324,991,23,0
24692364842,20027,325,1009,23,0
24692384867,20025,326,981,24,0
24692405627,20760,327,1028,23,0
24692424873,19245,328,970,24,0
24692444831,19957,329,200,23,0
24692464058,0,329,800,19,1
24692484619,39787,330,193,29,0
24692504043,0,330,778,20,1
24692524585,39966,331,162,29,0
24692544150,0,331,769,14,1
24692564578,39993,332,995,20,0
24692584850,20271,333,972,25,0
24692604815,19965,334,981,23,0
24692624832,20016,335,209,23,0
24692645176,0,335,991,15,1
24692664807,39975,336,187,23,0
24692684041,0,336,792,15,1
24692704568,39760,337,159,22,0
24692724008,0,337,781,16,1
24692744608,40039,338,161,31,0
24692763995,0,338,837,13,1
24692784682,40073,339,209,34,0
24692804071,0,339,774,21,1
24692824545,39863,340,193,22,0
24692844081,0,340,766,20,1
24692864584,40038,341,213,21,0
24692884097,0,341,938,23,1
24692904782,40198,342,242,36,0
24692924133,0,342,931,29,1
24692944782,40000,343,216,36,0
24692964121,0,343,927,28,1
24692984742,39959,344,1037,21,0
24693004892,20150,345,1002,28,0
24693024850,19957,346,175,24,0
24693043979,0,346,907,13,1
24693064689,39839,347,173,26,0
24693084070,0,347,856,16,1
24693104694,40004,348,193,32,0
24693124030,0,348,841,17,1
24693144682,39988,349,210,32,0
24693164050,0,349,834,16,1
24693184673,39990,350,189,32,0
24693204084,0,350,873,23,1
24693224713,40039,351,202,33,0
24693244061,0,351,847,20,1
24693264690,39977,352,215,35,0
24693284098,0,352,931,18,1
24693304783,40093,353,216,35,0
24693324085,0,353,948,18,1
24693344797,40013,354,952,35,0
24693364804,20007,355,81,23,0
24693383908,0,355,181,26,1
24693404041,0,355,959,15,1
24693424797,59993,356,976,38,0
24693444835,20038,357,171,23,0
24693464023,0,357,787,13,1
24693484610,39775,358,909,21,0
24693504765,20154,359,1010,22,0
24693524807,20042,360,934,24,0
24693544782,19974,361,932,24,0
24693564780,19998,362,947,24,0
24693584795,20014,363,977,24,0
24693604826,20031,364,1069,25,0
24693624899,20072,365,183,25,0
24693644032,0,365,902,16,1
24693664753,39854,366,989,34,0
24693684838,20085,367,909,19,0
24693704715,19876,368,949,19,0
24693724801,20085,369,916,19,0
24693744773,19972,370,984,23,0
24693764824,20050,371,905,24,0
24693784784,19960,372,898,24,0
24693804744,19959,373,914,24,0
24693824763,20018,374,922,23,0
24693844772,20009,375,959,24,0
24693864800,20027,376,933,22,0
24693884788,19987,377,910,24,0
24693904753,19964,378,893,22,0
24693924731,19977,379,895,18,0
24693944739,20008,380,895,18,0
24693964734,19995,381,897,18,0
24693984752,20018,382,910,25,0
24694004758,20006,383,937,23,0
24694024791,20032,384,917,24,0
24694044759,19968,385,974,23,0
24694064815,20056,386,992,23,0
24694084837,20021,387,904,23,0
24694104744,19907,388,898,24,0
24694124744,19999,389,907,22,0
24694144749,20005,390,896,23,0
24694164750,20000,391,972,24,0
24694184812,20061,392,900,23,0
24694204744,19931,393,950,24,0
24694224794,20050,394,926,24,0
24694244782,19987,395,930,23,0
24694264788,20005,396,943,24,0
