sample_ts,pid,tid,pcpu,stat,comm
1783525841,2175142,2175142,13.1,Sl,bg_engine
1783525841,2175142,2175144,0.0,Sl,HangWatcher
1783525841,2175142,2175145,0.0,Sl,PerfettoTrace
1783525841,2175142,2175146,0.0,Sl,ThreadPoolServi
1783525841,2175142,2175147,63.2,Rl,ThreadPoolForeg
1783525841,2175142,2175148,0.1,Sl,Chrome_ChildIOT
1783525841,2175142,2175153,59.2,Rl,ThreadPoolForeg
1783525841,2175142,2175160,4.4,Sl,Compositor
1783525841,2175142,2175161,0.0,Sl,ThreadPoolSingl
1783525841,2175142,2175166,2.1,Sl,ThreadPoolForeg
1783525842,2175142,2175142,13.0,Sl,bg_engine
1783525842,2175142,2175144,0.0,Sl,HangWatcher
1783525842,2175142,2175145,0.0,Sl,PerfettoTrace
1783525842,2175142,2175146,0.0,Sl,ThreadPoolServi
1783525842,2175142,2175147,62.3,Sl,ThreadPoolForeg
1783525842,2175142,2175148,0.1,Sl,Chrome_ChildIOT
1783525842,2175142,2175153,58.3,Sl,ThreadPoolForeg
1783525842,2175142,2175160,4.3,Rl,Compositor
1783525842,2175142,2175161,0.0,Sl,ThreadPoolSingl
1783525842,2175142,2175166,2.1,Sl,ThreadPoolForeg
1783525843,2175142,2175142,12.5,Sl,bg_engine
1783525843,2175142,2175144,0.0,Sl,HangWatcher
1783525843,2175142,2175145,0.0,Sl,PerfettoTrace
1783525843,2175142,2175146,0.0,Sl,ThreadPoolServi
1783525843,2175142,2175147,61.4,Rl,ThreadPoolForeg
1783525843,2175142,2175148,0.2,Sl,Chrome_ChildIOT
1783525843,2175142,2175153,57.2,Rl,ThreadPoolForeg
1783525843,2175142,2175160,4.3,Sl,Compositor
1783525843,2175142,2175161,0.0,Sl,ThreadPoolSingl
1783525843,2175142,2175166,2.2,Sl,ThreadPoolForeg
1783525844,2175142,2175142,12.9,Sl,bg_engine
1783525844,2175142,2175144,0.0,Sl,HangWatcher
1783525844,2175142,2175145,0.0,Sl,PerfettoTrace
