wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
338619851,0,0,54970,51847,1
338643278,0,0,839,36,1
338660989,0,0,292,29,1
338680410,0,0,964,19,1
338701124,0,0,47,20,1
338720187,0,0,6206,14,1
338746416,0,1,68,35,0
338760148,0,1,36,7,1
338780179,0,1,57,15,1
338800220,0,1,258,27,1
338820430,0,1,49,19,1
338840198,0,1,58,16,1
338860223,0,1,167,24,1
338880351,0,1,175,22,1
338900365,0,1,189,30,1
338920393,0,1,1224,32,1
338941405,0,1,3007,23,1
338963187,0,1,6921,27,1
338988017,241600,2,179,44,0
339000256,0,2,65,11,1
339020238,0,2,64,29,1
339040231,0,2,70,26,1
339060239,0,2,75,28,1
339080245,0,2,64,27,1
339100232,0,2,68,26,1
339120237,0,2,72,28,1
339140250,0,2,74,31,1
339160244,0,2,70,28,1
339180238,0,2,67,28,1
339200236,0,2,95,27,1
339221149,233132,3,75,39,0
339240234,0,3,73,20,1
339260244,0,3,66,24,1
339280233,0,3,64,23,1
339300224,0,3,48,22,1
339320199,0,3,47,17,1
339340207,0,3,79,22,1
339360255,0,3,81,25,1
339380257,0,3,80,26,1
339400263,0,3,85,31,1
339420260,0,3,75,26,1
339440256,0,3,77,26,1
339461065,239915,4,64,27,0
339480230,0,4,70,21,1
339500240,0,4,65,23,1
339520232,0,4,62,22,1
339540226,0,4,64,22,1
339560231,0,4,66,21,1
339580232,0,4,65,22,1
339600228,0,4,82,21,1
339620264,0,4,63,32,1
339640216,0,4,69,20,1
339660239,0,4,63,25,1
339680230,0,4,66,22,1
339701072,240006,5,66,23,0
339720231,0,5,71,22,1
339740238,0,5,64,22,1
339760233,0,5,62,23,1
339780227,0,5,63,21,1
339800229,0,5,79,21,1
339820397,0,5,80,22,1
339840254,0,5,74,23,1
339860283,0,5,63,24,1
339880226,0,5,57,24,1
339900211,0,5,80,21,1
339920263,0,5,87,33,1
339941101,240028,6,67,34,0
339960232,0,6,64,25,1
339980233,0,6,71,24,1
340000240,0,6,68,25,1
340020238,0,6,77,26,1
340040253,0,6,73,28,1
340060243,0,6,63,24,1
340080234,0,6,64,24,1
340100233,0,6,65,24,1
340120237,0,6,65,26,1
340140232,0,6,65,24,1
340160229,0,6,84,24,1
340181111,240010,7,66,31,0
340200232,0,7,67,24,1
340220236,0,7,68,26,1
340240237,0,7,68,26,1
340260236,0,7,65,25,1
340280230,0,7,64,24,1
340300231,0,7,79,24,1
340320255,0,7,72,29,1
340340244,0,7,67,28,1
340360235,0,7,85,24,1
340380271,0,7,65,30,1
340400229,0,7,120,24,1
340421219,240107,8,109,40,0
340440362,0,8,68,24,1
340460226,0,8,63,19,1
340480217,0,8,66,24,1
340500837,0,8,93,32,1
340520239,0,8,77,37,1
340540245,0,8,91,30,1
340560277,0,8,73,30,1
340580246,0,8,68,25,1
340600234,0,8,98,22,1
340620268,0,8,67,22,1
340640236,0,8,83,22,1
340661080,239861,9,132,31,0
340680304,0,9,67,24,1
340700237,0,9,66,22,1
340720234,0,9,154,22,1
340740324,0,9,67,22,1
340760237,0,9,67,23,1
340780237,0,9,66,23,1
