wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
530720489,0,0,30611,26491,1
530744935,0,0,249,27,1
530760969,0,0,54,8,1
530780844,0,0,86,18,1
530800869,0,0,768,14,1
530821553,0,0,4515,16,1
530845326,0,1,73,25,0
530860799,0,1,96,10,1
530880938,0,1,137,34,1
530901016,0,1,213,54,1
530921027,0,1,122,29,1
530940922,0,1,68,25,1
530960830,0,1,112,25,1
530980889,0,1,147,24,1
531000917,0,1,51,22,1
531020801,0,1,474,18,1
531041297,0,1,3146,26,1
531063994,0,1,9014,33,1
531090804,245477,2,194,36,0
531101111,0,2,77,11,1
531120899,0,2,69,31,1
531140880,0,2,72,23,1
531160886,0,2,63,24,1
531180874,0,2,74,22,1
531200882,0,2,81,22,1
531220902,0,2,70,28,1
531240882,0,2,78,23,1
531260892,0,2,64,24,1
531280872,0,2,66,22,1
531300874,0,2,79,22,1
531321769,230964,3,65,30,0
531340872,0,3,67,22,1
531360878,0,3,74,22,1
531380885,0,3,74,24,1
531400882,0,3,65,24,1
531420877,0,3,69,24,1
531440875,0,3,69,23,1
531460875,0,3,70,26,1
531480877,0,3,89,23,1
531500898,0,3,69,24,1
531520853,0,3,65,25,1
531540845,0,3,64,21,1
531561633,239863,4,66,24,0
531580870,0,4,70,26,1
531600831,0,4,69,34,1
531620876,0,4,72,22,1
531640889,0,4,70,23,1
531660879,0,4,63,22,1
531680867,0,4,81,21,1
531700886,0,4,81,22,1
531720897,0,4,77,28,1
531740886,0,4,70,26,1
531760877,0,4,68,23,1
531780874,0,4,75,23,1
531801707,240074,5,63,26,0
531820871,0,5,100,23,1
531840918,0,5,68,26,1
531860876,0,5,70,23,1
531880884,0,5,71,23,1
531900877,0,5,76,23,1
531920890,0,5,78,27,1
531940891,0,5,67,28,1
531960874,0,5,63,24,1
531980878,0,5,63,22,1
532000868,0,5,94,22,1
532020911,0,5,69,26,1
532041712,240005,6,76,27,0
532060890,0,6,63,28,1
532080870,0,6,74,22,1
532100877,0,6,75,21,1
532120891,0,6,80,27,1
532140891,0,6,72,24,1
532160886,0,6,65,25,1
532180863,0,6,75,19,1
532200843,0,6,76,31,1
532220855,0,6,110,28,1
532240934,0,6,76,27,1
532260887,0,6,85,24,1
532281722,240009,7,81,27,0
532300906,0,7,67,27,1
532320876,0,7,78,24,1
532340896,0,7,76,28,1
532360899,0,7,78,28,1
532380892,0,7,70,28,1
532400881,0,7,68,25,1
532420880,0,7,81,24,1
532440900,0,7,67,27,1
532460880,0,7,69,25,1
532480884,0,7,67,26,1
532500878,0,7,84,25,1
532521755,240032,8,67,30,0
532540879,0,8,90,26,1
532561017,0,8,219,39,1
532582099,0,8,216,58,1
532601900,0,8,216,48,1
532622545,0,8,214,51,1
532641801,0,8,203,49,1
532661972,0,8,217,41,1
532682881,0,8,186,51,1
532701334,0,8,174,42,1
532721109,0,8,173,38,1
532741062,0,8,99,29,1
532761689,239934,9,69,32,0
532780887,0,9,46,21,1
532800842,0,9,58,15,1
532820860,0,9,90,28,1
532840902,0,9,70,26,1
532860883,0,9,67,25,1
532880874,0,9,68,25,1
532900874,0,9,65,25,1
532920875,0,9,100,24,1
532940975,0,9,117,28,1
532961037,0,9,128,44,1
532981044,0,9,132,29,1
533001874,240184,10,117,34,0
533021031,0,10,77,41,1
533040900,0,10,63,35,1
533060868,0,10,79,23,1
533080883,0,10,61,23,1
533100870,0,10,64,28,1
533120877,0,10,59,23,1
533140864,0,10,73,24,1
533160875,0,10,62,23,1
533180867,0,10,72,23,1
533200877,0,10,88,24,1
533221029,0,10,90,50,1
533241671,239796,11,169,28,0
533261752,0,11,223,49,1
533281976,0,11,122,44,1
533300942,0,11,118,31,1
533320973,0,11,113,51,1
533340909,0,11,90,32,1
533360926,0,11,105,46,1
533381011,0,11,79,44,1
533400859,0,11,67,23,1
533420831,0,11,54,25,1
533440829,0,11,54,18,1
533460852,0,11,79,23,1
533481676,240004,12,74,26,0
533500881,0,12,87,24,1
533520911,0,12,72,26,1
533540879,0,12,70,24,1
533560884,0,12,68,24,1
533580875,0,12,72,23,1
533600878,0,12,71,23,1
533620881,0,12,66,23,1
533640874,0,12,73,22,1
533660885,0,12,70,24,1
533680879,0,12,70,24,1
533700878,0,12,101,24,1
533721748,240072,13,81,32,0
533740882,0,13,66,34,1
533760871,0,13,70,25,1
533780884,0,13,68,26,1
533800877,0,13,101,26,1
533821089,0,13,232,31,1
533841721,0,13,191,57,1
533861236,0,13,213,36,1
533882339,0,13,229,52,1
533901651,0,13,168,50,1
533921616,0,13,72,37,1
533940878,0,13,72,24,1
533961669,239921,14,77,23,0
533980896,0,14,69,27,1
534001293,0,14,59,21,1
534020858,0,14,42,22,1
534040826,0,14,58,16,1
534060865,0,14,82,23,1
534080886,0,14,63,25,1
534100870,0,14,69,24,1
534120874,0,14,64,23,1
534140872,0,14,66,26,1
534160880,0,14,60,24,1
534180863,0,14,77,23,1
534201706,240036,15,64,28,0
534220871,0,15,65,25,1
534240875,0,15,65,24,1
534260869,0,15,74,24,1
534280878,0,15,61,24,1
534300861,0,15,79,22,1
534320884,0,15,63,24,1
534340871,0,15,63,25,1
534360872,0,15,66,23,1
534380877,0,15,64,25,1
534400869,0,15,85,24,1
534420893,0,15,83,26,1
534441719,240013,16,64,28,0
534460868,0,16,73,24,1
534480874,0,16,63,23,1
534500866,0,16,87,24,1
534520898,0,16,81,28,1
534540891,0,16,89,25,1
534560922,0,16,96,24,1
534580915,0,16,74,24,1
534600849,0,16,58,23,1
534620811,0,16,50,21,1
534640875,0,16,70,20,1
534660878,0,16,89,27,1
534681787,240068,17,69,33,0
534700884,0,17,184,30,1
534720998,0,17,68,29,1
534740877,0,17,73,26,1
534760887,0,17,64,29,1
534780870,0,17,67,26,1
534800893,0,17,64,26,1
534820877,0,17,64,27,1
534840870,0,17,76,25,1
534860895,0,17,88,28,1
534880909,0,17,69,31,1
534900879,0,17,87,28,1
