wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
1439161551,0,0,33889,29748,1
1439186024,0,0,6926,29,1
1439208734,0,0,1179,24,1
1439222974,0,0,223,12,1
1439242052,0,0,375,27,1
1439262251,0,0,6714,27,1
1439288596,0,1,379,27,0
1439302191,0,1,1171,14,1
1439323117,0,1,2531,15,1
1439345925,57329,2,6767,24,0
1439370940,25015,3,243,26,0
1439382537,0,3,936,15,1
1439402833,31892,4,193,24,0
1439422100,0,4,812,22,1
1439442665,39831,5,201,21,0
1439462070,0,5,862,15,1
1439482716,40051,6,614,22,0
1439502505,0,6,782,15,1
1439522637,39920,7,173,22,0
1439542063,0,7,832,15,1
1439562707,40070,8,181,35,0
1439582076,0,8,812,15,1
1439602679,39972,9,196,32,0
1439622058,0,9,817,15,1
1439642700,40021,10,1261,32,0
1439663193,20492,11,1023,30,0
1439682919,19725,12,103,52,0
1439701959,0,12,801,19,1
1439722663,39744,13,989,23,0
1439742868,20204,14,195,20,0
1439762066,0,14,881,14,1
1439782729,39861,15,1040,20,0
1439802978,20248,16,1009,30,0
1439822869,19890,17,180,25,0
1439842069,0,17,1018,15,1
1439862881,40012,18,1044,28,0
1439882910,20028,19,1110,23,0
1439903008,20098,20,990,27,0
1439922879,19871,21,986,21,0
1439942836,19956,22,1107,21,0
1439962970,20134,23,994,22,0
1439982866,19895,24,1142,25,0
1440003046,20180,25,187,25,0
1440022066,0,25,805,15,1
1440042654,39607,26,981,20,0
1440062849,20194,27,1001,24,0
1440082902,20052,28,172,52,0
1440102060,0,28,791,15,1
1440122642,39740,29,1015,20,0
1440142879,20236,30,1025,21,0
1440162918,20039,31,192,25,0
1440182063,0,31,840,14,1
1440202668,39750,32,1015,27,0
1440222924,20255,33,1056,24,0
1440242952,20028,34,1239,21,0
1440263149,20196,35,1042,26,0
1440283539,20390,36,187,53,0
1440302238,0,36,910,16,1
1440322783,39243,37,1095,26,0
1440342977,20194,38,1013,20,0
1440362874,19897,39,1002,26,0
1440382926,20051,40,1032,53,0
1440402980,20054,41,1090,24,0
1440422997,20017,42,1031,58,0
1440442930,19932,43,1051,59,0
1440462950,20019,44,1148,24,0
1440483078,20128,45,1056,26,0
1440502951,19872,46,190,29,0
1440522071,0,46,938,15,1
1440542793,39841,47,1092,23,0
1440562971,20177,48,1060,28,0
1440582942,19971,49,1053,37,0
1440602907,19965,50,1031,22,0
1440622886,19979,51,1131,22,0
1440643023,20137,52,980,34,0
1440662864,19840,53,979,21,0
1440682867,20002,54,1013,25,0
1440702907,20040,55,1077,24,0
1440722987,20080,56,990,28,0
1440742849,19861,57,969,25,0
1440762817,19967,58,977,25,0
1440782859,20042,59,1081,26,0
1440803939,21080,60,197,27,0
1440822121,0,60,983,15,1
1440843065,39125,61,1041,34,0
1440863005,19939,62,1163,41,0
1440883059,20054,63,1151,33,0
1440903041,19982,64,961,26,0
1440922903,19861,65,1010,25,0
1440942904,20000,66,977,28,0
1440962862,19957,67,1054,26,0
1440982945,20083,68,978,53,0
1441002866,19920,69,1009,25,0
1441022904,20037,70,999,25,0
1441042903,19999,71,1071,31,0
1441062966,20063,72,971,24,0
1441082840,19873,73,1021,25,0
1441102868,20027,74,998,26,0
1441122883,20014,75,1018,25,0
1441142901,20018,76,1021,25,0
1441162904,20002,77,2022,25,0
1441189102,26198,78,2220,3109,0
1441204112,15009,79,1768,113,0
1441223730,19618,80,965,24,0
1441242863,19133,81,1227,30,0
1441263203,20339,82,1094,28,0
1441282981,19778,83,987,26,0
1441302849,19868,84,972,30,0
