sample_ts,pid,tid,pcpu,stat,comm
1783535708,129566,129566,11.0,Sl,bg_engine
1783535708,129566,129567,0.0,Sl,HangWatcher
1783535708,129566,129573,0.0,Sl,PerfettoTrace
1783535708,129566,129574,0.0,Sl,ThreadPoolServi
1783535708,129566,129575,66.5,Rl,ThreadPoolForeg
1783535708,129566,129576,0.1,Sl,Chrome_ChildIOT
1783535708,129566,129577,63.5,Rl,ThreadPoolForeg
1783535708,129566,129585,3.7,Sl,Compositor
1783535708,129566,129586,0.0,Sl,ThreadPoolSingl
1783535708,129566,129589,1.2,Sl,ThreadPoolForeg
1783535709,129566,129566,10.7,Sl,bg_engine
1783535709,129566,129567,0.0,Sl,HangWatcher
1783535709,129566,129573,0.0,Sl,PerfettoTrace
1783535709,129566,129574,0.0,Sl,ThreadPoolServi
1783535709,129566,129575,64.3,Sl,ThreadPoolForeg
1783535709,129566,129576,0.2,Sl,Chrome_ChildIOT
1783535709,129566,129577,61.5,Sl,ThreadPoolForeg
1783535709,129566,129585,3.6,Sl,Compositor
1783535709,129566,129586,0.0,Sl,ThreadPoolSingl
1783535709,129566,129589,1.5,Sl,ThreadPoolForeg
1783535710,129566,129566,10.5,Sl,bg_engine
1783535710,129566,129567,0.0,Sl,HangWatcher
1783535710,129566,129573,0.0,Sl,PerfettoTrace
1783535710,129566,129574,0.0,Sl,ThreadPoolServi
1783535710,129566,129575,64.0,Rl,ThreadPoolForeg
1783535710,129566,129576,0.2,Sl,Chrome_ChildIOT
1783535710,129566,129577,61.2,Rl,ThreadPoolForeg
1783535710,129566,129585,3.5,Sl,Compositor
1783535710,129566,129586,0.0,Sl,ThreadPoolSingl
1783535710,129566,129589,1.3,Sl,ThreadPoolForeg
1783535711,129566,129566,10.9,Rl,bg_engine
1783535711,129566,129567,0.0,Sl,HangWatcher
1783535711,129566,129573,0.0,Sl,PerfettoTrace
1783535711,129566,129574,0.0,Sl,ThreadPoolServi
1783535711,129566,129575,65.7,Sl,ThreadPoolForeg
