wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
2110561749,0,0,26368,26368,1
2110583861,0,0,6974,20444,1
2110604071,0,0,3950,20207,1
2110624242,0,0,6473,20169,1
2110644327,0,0,682,20081,1
2110668982,0,1,6257,24651,0
2110689023,0,1,1434,20034,1
2110703745,34763,2,1591,14717,0
2110729778,0,2,463,20130,1
2110745668,41922,3,2506,15884,0
2110770916,0,3,1923,20134,1
2110782118,36449,4,6037,11197,0
2110813436,31317,5,1239,22188,0
2110839885,26448,6,1153,26442,0
2110859976,0,6,212,20086,1
2110866027,26142,7,1132,6044,0
2110900342,0,7,195,20100,1
2110905949,39922,8,818,5599,0
2110940728,0,8,185,20111,1
2110946417,40467,9,864,5682,0
2110981041,0,9,181,20042,1
2110986595,40178,10,764,5548,0
2111021410,0,10,191,20098,1
2111027137,40542,11,785,5721,0
2111061783,0,11,204,20087,1
2111067380,40242,12,774,5590,0
2111103655,36275,13,965,21632,0
2111125746,22090,14,1057,22086,0
2111147579,21833,15,1025,21828,0
2111169466,21887,16,1132,21882,0
2111191359,21893,17,1109,21888,0
2111212983,21623,18,1001,21618,0
2111234618,21635,19,1041,21631,0
2111256337,21718,20,1005,21713,0
2111278116,21779,21,1040,21775,0
2111299867,21750,22,1102,21745,0
2111321797,21930,23,1062,21917,0
2111343681,21883,24,1114,21875,0
2111363783,0,24,182,20095,1
2111369479,25798,25,781,5646,0
2111406144,36665,26,1202,21974,0
2111427892,21747,27,1074,21741,0
2111449816,21924,28,1040,21917,0
2111471691,21874,29,1050,21868,0
2111493592,21901,30,1135,21895,0
2111515342,21750,31,1105,21745,0
2111533571,18228,32,1048,18224,0
2111553660,0,32,194,20083,1
2111559261,25690,33,820,5596,0
2111595659,36397,34,1060,21679,0
2111614255,18596,35,1023,18591,0
2111634193,19937,36,1049,19932,0
2111654438,0,36,188,20100,1
2111660063,25870,37,835,5619,0
2111694129,34065,38,1000,19410,0
2111715952,21823,39,1090,21817,0
2111737845,21893,40,1046,21886,0
2111757193,19347,41,1089,19341,0
2111779662,22469,42,1021,21733,0
2111801281,21618,43,989,21612,0
2111823094,21813,44,1017,21808,0
2111844863,21768,45,1124,21761,0
2111863052,18189,46,1002,18184,0
2111884373,21320,47,900,21314,0
2111902519,18146,48,1009,18141,0
2111910377,7858,49,1005,5926,0
2111942949,32571,50,1049,18201,0
2111960959,18009,51,983,18004,0
2111981130,20170,52,963,18096,0
2111989091,7961,53,939,5982,0
2112025160,36069,54,1043,21770,0
2112044585,19424,55,1885,19418,0
2112067276,22691,56,1219,22034,0
2112089127,21851,57,1015,21839,0
2112110746,21619,58,983,21612,0
2112132540,21793,59,1053,21789,0
2112154209,21669,60,971,21664,0
2112174952,20742,61,1018,20738,0
2112196630,21678,62,995,21672,0
2112218441,21810,63,1102,21805,0
2112240178,21736,64,1035,21732,0
2112258340,18162,65,951,18156,0
2112278442,20102,66,1022,18185,0
2112300277,21834,67,1088,21828,0
2112322169,21891,68,1035,21885,0
2112340497,18328,69,1022,18321,0
2112364581,24084,70,1535,22329,0
2112386408,21827,71,1087,21819,0
2112408173,21765,72,1081,21759,0
2112429930,21757,73,1022,21752,0
2112449759,19829,74,1036,19825,0
2112468031,18271,75,1106,18265,0
2112491758,23727,76,1069,21917,0
2112513520,21761,77,1043,21756,0
2112531739,18219,78,1046,18214,0
2112551683,19944,79,951,18084,0
2112575364,23680,80,1032,21689,0
2112597237,21872,81,1932,21868,0
2112619488,22250,82,2010,22245,0
2112641568,22080,83,1178,22074,0
2112663578,22009,84,1303,22004,0
2112682259,18681,85,1300,18677,0
2112701921,19661,86,1056,18255,0
2112724385,22463,87,1711,22457,0
2112742600,18215,88,1023,18210,0
2112764558,0,88,125,20089,1
2112774246,31645,89,800,9682,0
2112806736,32490,90,1234,21981,0
