sample_ts,pid,tid,pcpu,stat,comm
1783536315,187137,187137,12.4,Sl,bg_engine
1783536315,187137,187139,0.0,Sl,HangWatcher
1783536315,187137,187145,0.0,Sl,PerfettoTrace
1783536315,187137,187146,0.0,Sl,ThreadPoolServi
1783536315,187137,187147,69.5,Rl,ThreadPoolForeg
1783536315,187137,187148,0.1,Sl,Chrome_ChildIOT
1783536315,187137,187149,67.8,Rl,ThreadPoolForeg
1783536315,187137,187154,4.2,Sl,Compositor
1783536315,187137,187155,0.0,Sl,ThreadPoolSingl
1783536315,187137,187156,1.1,Sl,ThreadPoolForeg
1783536316,187137,187137,12.1,Sl,bg_engine
1783536316,187137,187139,0.0,Sl,HangWatcher
1783536316,187137,187145,0.0,Sl,PerfettoTrace
1783536316,187137,187146,0.0,Sl,ThreadPoolServi
1783536316,187137,187147,69.2,Rl,ThreadPoolForeg
1783536316,187137,187148,0.2,Sl,Chrome_ChildIOT
1783536316,187137,187149,67.5,Rl,ThreadPoolForeg
1783536316,187137,187154,4.2,Sl,Compositor
1783536316,187137,187155,0.0,Sl,ThreadPoolSingl
1783536316,187137,187156,1.0,Sl,ThreadPoolForeg
1783536317,187137,187137,12.2,Sl,bg_engine
1783536317,187137,187139,0.0,Sl,HangWatcher
1783536317,187137,187145,0.0,Sl,PerfettoTrace
1783536317,187137,187146,0.0,Sl,ThreadPoolServi
1783536317,187137,187147,68.8,Rl,ThreadPoolForeg
1783536317,187137,187148,0.2,Sl,Chrome_ChildIOT
1783536317,187137,187149,66.8,Rl,ThreadPoolForeg
1783536317,187137,187154,4.1,Sl,Compositor
1783536317,187137,187155,0.0,Sl,ThreadPoolSingl
1783536317,187137,187156,1.1,Sl,ThreadPoolForeg
1783536318,187137,187137,12.3,Sl,bg_engine
1783536318,187137,187139,0.0,Sl,HangWatcher
1783536318,187137,187145,0.0,Sl,PerfettoTrace
1783536318,187137,187146,0.0,Sl,ThreadPoolServi
1783536318,187137,187147,69.7,Rl,ThreadPoolForeg
1783536318,187137,187148,0.2,Sl,Chrome_ChildIOT
1783536318,187137,187149,67.7,Rl,ThreadPoolForeg
1783536318,187137,187154,4.2,Sl,Compositor
1783536318,187137,187155,0.0,Sl,ThreadPoolSingl
1783536318,187137,187156,1.0,Sl,ThreadPoolForeg
1783536319,187137,187137,12.6,Sl,bg_engine
1783536319,187137,187139,0.0,Sl,HangWatcher
1783536319,187137,187145,0.0,Sl,PerfettoTrace
1783536319,187137,187146,0.0,Sl,ThreadPoolServi
1783536319,187137,187147,71.2,Rl,ThreadPoolForeg
1783536319,187137,187148,0.1,Sl,Chrome_ChildIOT
1783536319,187137,187149,69.2,Rl,ThreadPoolForeg
1783536319,187137,187154,4.2,Sl,Compositor
1783536319,187137,187155,0.0,Sl,ThreadPoolSingl
1783536319,187137,187156,1.0,Sl,ThreadPoolForeg
1783536320,187137,187137,12.7,Sl,bg_engine
1783536320,187137,187139,0.0,Sl,HangWatcher
1783536320,187137,187145,0.0,Sl,PerfettoTrace
1783536320,187137,187146,0.0,Sl,ThreadPoolServi
1783536320,187137,187147,70.6,Rl,ThreadPoolForeg
1783536320,187137,187148,0.1,Sl,Chrome_ChildIOT
1783536320,187137,187149,68.4,Rl,ThreadPoolForeg
1783536320,187137,187154,4.3,Sl,Compositor
1783536320,187137,187155,0.0,Sl,ThreadPoolSingl
1783536320,187137,187156,1.1,Sl,ThreadPoolForeg
1783536321,187137,187137,12.5,Sl,bg_engine
1783536321,187137,187139,0.0,Sl,HangWatcher
1783536321,187137,187145,0.0,Sl,PerfettoTrace
1783536321,187137,187146,0.0,Sl,ThreadPoolServi
1783536321,187137,187147,69.6,Rl,ThreadPoolForeg
1783536321,187137,187148,0.1,Sl,Chrome_ChildIOT
1783536321,187137,187149,67.4,Rl,ThreadPoolForeg
1783536321,187137,187154,4.2,Sl,Compositor
1783536321,187137,187155,0.0,Sl,ThreadPoolSingl
1783536321,187137,187156,1.0,Sl,ThreadPoolForeg
1783536323,187137,187137,12.7,Sl,bg_engine
1783536323,187137,187139,0.0,Sl,HangWatcher
1783536323,187137,187145,0.0,Sl,PerfettoTrace
1783536323,187137,187146,0.0,Sl,ThreadPoolServi
1783536323,187137,187147,70.9,Rl,ThreadPoolForeg
1783536323,187137,187148,0.1,Sl,Chrome_ChildIOT
1783536323,187137,187149,68.7,Rl,ThreadPoolForeg
1783536323,187137,187154,4.2,Sl,Compositor
1783536323,187137,187155,0.0,Sl,ThreadPoolSingl
