wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
2174670526,0,0,27660,27660,1
2174703142,0,0,3783,20040,1
2174723578,0,0,7118,20432,1
2174743700,0,0,1212,20120,1
2174763801,0,0,469,20098,1
2174790666,0,1,5676,25430,0
2174810731,0,1,1569,20061,1
2174830808,0,1,933,20072,1
2174848751,58085,2,848,17938,0
2174869092,0,2,386,20069,1
2174877920,29169,3,867,8823,0
2174903268,0,3,399,20165,1
2174908848,30927,4,758,5575,0
2174944514,0,4,1091,20401,1
2174950341,41492,5,967,5822,0
2174983879,0,5,6626,20090,1
2174989761,39420,6,863,5876,0
2175025292,35531,7,1390,21602,0
2175045382,0,7,260,20085,1
2175051043,25750,8,776,5655,0
2175085719,0,8,189,20086,1
2175091323,40279,9,768,5598,0
2175126013,0,9,181,20033,1
2175131678,40355,10,806,5659,0
2175166362,0,10,193,20093,1
2175171974,40295,11,772,5605,0
2175208228,36254,12,939,21612,0
2175229859,21631,13,972,21626,0
2175251471,21612,14,986,21607,0
2175273079,21607,15,950,21601,0
2175294668,21589,16,934,21584,0
2175316331,21662,17,1005,21657,0
2175337972,21641,18,992,21636,0
2175358902,20929,19,935,20924,0
2175380554,21652,20,980,21647,0
2175403053,22499,21,1212,22493,0
2175424721,21667,22,966,21651,0
2175446252,21531,23,875,21526,0
2175467910,21657,24,960,21653,0
2175489502,21592,25,925,21587,0
2175509640,20137,26,911,20133,0
2175529741,20100,27,911,20095,0
2175551357,21616,28,964,21611,0
2175572970,21612,29,966,21607,0
2175591236,18265,30,1048,18260,0
2175612801,21565,31,927,21559,0
2175632902,20100,32,907,20096,0
2175651137,18234,33,982,18229,0
2175673721,22584,34,938,20738,0
2175695378,21657,35,1003,21652,0
2175714867,19488,36,910,19484,0
2175736486,21618,37,989,21613,0
2175756554,0,37,160,20063,1
2175762670,26184,38,808,6107,0
2175798520,35850,39,1009,21684,0
2175820125,21605,40,952,21600,0
2175839877,19751,41,919,19746,0
2175861220,21343,42,899,21337,0
2175882084,20863,43,906,20859,0
2175903722,21638,44,1093,21631,0
2175924066,20344,45,1066,20339,0
2175943976,19909,46,919,19906,0
2175964647,20671,47,1554,20505,0
2175984748,0,47,205,20094,1
2175990490,25842,48,847,5738,0
2176012273,21783,49,1009,21777,0
2176032958,20684,50,1063,20679,0
2176053050,20092,51,939,20086,0
2176074661,21610,52,977,21606,0
2176094751,0,52,174,20084,1
2176100407,25745,53,797,5650,0
2176119890,19483,54,931,19480,0
2176140919,21029,55,900,20441,0
2176161880,20960,56,991,20955,0
2176182053,20172,57,901,20166,0
2176203897,21844,58,1194,21839,0
2176225566,21669,59,979,21664,0
2176244884,19317,60,876,19312,0
2176264914,20030,61,903,19275,0
2176284844,19930,62,937,19925,0
2176304847,20002,63,879,19860,0
2176323912,19064,64,1002,19059,0
2176344907,20995,65,913,19986,0
2176364818,19910,66,931,19906,0
2176384913,20095,67,910,19934,0
