wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
1942234974,0,0,38251,33296,1
1942260255,0,0,7424,50,1
1942282607,0,0,702,23,1
1942295919,0,0,586,12,1
1942315885,0,0,1095,31,1
1942337080,0,0,306,14,1
1942356460,0,0,4923,13,1
1942380205,0,1,1261,25,0
1942399066,0,1,932,14,1
1942416167,35961,2,198,22,0
1942435790,0,2,923,14,1
1942456263,40096,3,1973,72,0
1942480084,23820,4,1290,24,0
1942499411,0,4,6312,22,1
1942521548,41463,5,644,25,0
1942537317,0,5,832,13,1
1942556123,34574,6,958,25,0
1942578106,21982,7,941,26,0
1942598134,20028,8,180,20,0
1942617308,0,8,833,16,1
1942636108,37973,9,924,19,0
1942658139,22031,10,1026,24,0
1942678988,20848,11,946,20,0
1942701222,22233,12,176,27,0
1942717025,0,12,830,17,1
1942736113,34891,13,977,27,0
1942758128,22014,14,163,25,0
1942777356,0,14,799,17,1
1942796072,37944,15,977,20,0
1942818219,22146,16,951,26,0
1942837991,19772,17,959,24,0
1942858040,20048,18,920,20,0
1942878203,20163,19,937,24,0
1942898837,20633,20,185,19,0
1942916664,0,20,765,16,1
1942936036,37199,21,1024,18,0
1942958256,22219,22,918,27,0
1942977924,19667,23,946,23,0
1942997284,19360,24,910,25,0
1943018719,21434,25,906,20,0
1943038296,19576,26,896,18,0
1943058628,20332,27,915,23,0
1943077547,18919,28,921,20,0
1943097628,20080,29,906,20,0
1943117534,19906,30,921,22,0
1943137643,20108,31,903,19,0
1943158377,20734,32,110,21,0
1943175391,0,32,850,13,1
1943196143,37765,33,897,20,0
1943218060,21917,34,909,20,0
1943238149,20088,35,910,18,0
1943258034,19885,36,935,18,0
1943278198,20164,37,912,18,0
1943298967,20769,38,871,21,0
1943319034,20066,39,983,18,0
1943336871,17836,40,935,21,0
1943358318,21447,41,936,19,0
1943377873,19554,42,956,21,0
1943398396,20522,43,907,22,0
1943417811,19415,44,905,22,0
1943438355,20544,45,903,21,0
1943457801,19445,46,899,19,0
1943478360,20558,47,900,20,0
1943497790,19430,48,924,19,0
1943517442,19651,49,902,20,0
1943537708,20266,50,897,20,0
1943557440,19731,51,915,19,0
1943577721,20281,52,950,18,0
1943597483,19761,53,870,19,0
1943618423,20940,54,896,19,0
1943638597,20173,55,895,18,0
1943656424,17826,56,148,23,0
1943676763,0,56,822,13,1
1943696091,39667,57,136,17,0
1943715434,0,57,807,15,1
1943736084,39992,58,933,23,0
1943756956,20871,59,922,23,0
1943779214,22258,60,893,18,0
1943798896,19681,61,899,24,0
1943818108,19211,62,927,20,0
1943838940,20831,63,919,24,0
1943859142,20202,64,115,23,0
1943877078,0,64,804,16,1
1943896087,36944,65,925,21,0
1943919094,23006,66,885,19,0
1943937994,18900,67,937,20,0
1943959208,21213,68,944,25,0
1943978840,19631,69,899,26,0
1943998314,19474,70,915,21,0
1944017951,19637,71,1045,74,0
1944038041,20090,72,965,20,0
1944058962,20920,73,980,21,0
1944079151,20188,74,907,21,0
1944098841,19690,75,888,24,0
1944118298,19456,76,887,20,0
1944137841,19542,77,939,20,0
1944157391,19550,78,935,22,0
1944177853,20462,79,942,19,0
1944198353,20499,80,889,21,0
1944217795,19442,81,1007,20,0
1944238471,20675,82,2251,22,0
1944259908,21437,83,2845,25,0
1944281102,21193,84,756,32,0
1944296321,0,84,825,15,1
1944316102,35000,85,295,22,0
1944335826,0,85,829,14,1
1944356108,40005,86,905,24,0
1944378110,22001,87,885,20,0
1944398031,19921,88,1222,20,0
1944418445,20413,89,940,19,0
1944438765,20320,90,1163,20,0
1944459380,20614,91,1063,22,0
1944478888,19508,92,1010,25,0
1944498255,19366,93,900,20,0
1944517899,19644,94,928,20,0
1944538286,20386,95,1054,20,0
1944559048,20762,96,141,28,0
1944577330,0,96,923,14,1
1944596212,37163,97,1040,26,0
1944619046,22833,98,161,25,0
