sample_ts,pid,tid,pcpu,stat,comm
1783535836,141524,141524,12.4,Sl,bg_engine
1783535836,141524,141525,0.0,Sl,HangWatcher
1783535836,141524,141531,0.0,Sl,PerfettoTrace
1783535836,141524,141532,0.0,Sl,ThreadPoolServi
1783535836,141524,141533,49.5,Rl,ThreadPoolForeg
1783535836,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535836,141524,141535,47.7,Rl,ThreadPoolForeg
1783535836,141524,141542,4.2,Rl,Compositor
1783535836,141524,141543,0.0,Sl,ThreadPoolSingl
1783535836,141524,141546,48.1,Rl,ThreadPoolForeg
1783535838,141524,141524,12.0,Sl,bg_engine
1783535838,141524,141525,0.0,Sl,HangWatcher
1783535838,141524,141531,0.0,Sl,PerfettoTrace
1783535838,141524,141532,0.0,Sl,ThreadPoolServi
1783535838,141524,141533,48.7,Sl,ThreadPoolForeg
1783535838,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535838,141524,141535,46.8,Sl,ThreadPoolForeg
1783535838,141524,141542,4.2,Sl,Compositor
1783535838,141524,141543,0.0,Sl,ThreadPoolSingl
1783535838,141524,141546,47.6,Sl,ThreadPoolForeg
1783535839,141524,141524,12.1,Sl,bg_engine
1783535839,141524,141525,0.0,Sl,HangWatcher
1783535839,141524,141531,0.0,Sl,PerfettoTrace
1783535839,141524,141532,0.0,Sl,ThreadPoolServi
1783535839,141524,141533,48.5,Sl,ThreadPoolForeg
1783535839,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535839,141524,141535,46.4,Sl,ThreadPoolForeg
1783535839,141524,141542,4.2,Sl,Compositor
1783535839,141524,141543,0.0,Sl,ThreadPoolSingl
1783535839,141524,141546,47.5,Sl,ThreadPoolForeg
1783535840,141524,141524,12.6,Rl,bg_engine
1783535840,141524,141525,0.0,Sl,HangWatcher
1783535840,141524,141531,0.0,Sl,PerfettoTrace
1783535840,141524,141532,0.0,Sl,ThreadPoolServi
1783535840,141524,141533,50.1,Rl,ThreadPoolForeg
1783535840,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535840,141524,141535,47.7,Rl,ThreadPoolForeg
1783535840,141524,141542,4.3,Sl,Compositor
1783535840,141524,141543,0.0,Sl,ThreadPoolSingl
1783535840,141524,141546,48.9,Rl,ThreadPoolForeg
1783535841,141524,141524,12.4,Rl,bg_engine
1783535841,141524,141525,0.0,Sl,HangWatcher
1783535841,141524,141531,0.0,Sl,PerfettoTrace
1783535841,141524,141532,0.0,Sl,ThreadPoolServi
1783535841,141524,141533,50.5,Sl,ThreadPoolForeg
1783535841,141524,141534,0.0,Sl,Chrome_ChildIOT
1783535841,141524,141535,48.1,Sl,ThreadPoolForeg
1783535841,141524,141542,4.3,Sl,Compositor
1783535841,141524,141543,0.0,Sl,ThreadPoolSingl
1783535841,141524,141546,49.4,Sl,ThreadPoolForeg
1783535842,141524,141524,12.4,Sl,bg_engine
1783535842,141524,141525,0.0,Sl,HangWatcher
1783535842,141524,141531,0.0,Sl,PerfettoTrace
1783535842,141524,141532,0.0,Sl,ThreadPoolServi
1783535842,141524,141533,50.0,Sl,ThreadPoolForeg
1783535842,141524,141534,0.0,Sl,Chrome_ChildIOT
1783535842,141524,141535,47.5,Sl,ThreadPoolForeg
1783535842,141524,141542,4.3,Sl,Compositor
1783535842,141524,141543,0.0,Sl,ThreadPoolSingl
1783535842,141524,141546,48.9,Sl,ThreadPoolForeg
1783535843,141524,141524,12.2,Sl,bg_engine
1783535843,141524,141525,0.0,Sl,HangWatcher
1783535843,141524,141531,0.0,Sl,PerfettoTrace
1783535843,141524,141532,0.0,Sl,ThreadPoolServi
1783535843,141524,141533,49.6,Sl,ThreadPoolForeg
1783535843,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535843,141524,141535,47.2,Sl,ThreadPoolForeg
1783535843,141524,141542,4.2,Sl,Compositor
1783535843,141524,141543,0.0,Sl,ThreadPoolSingl
1783535843,141524,141546,48.6,Sl,ThreadPoolForeg
1783535844,141524,141524,12.5,Sl,bg_engine
1783535844,141524,141525,0.0,Sl,HangWatcher
1783535844,141524,141531,0.0,Sl,PerfettoTrace
1783535844,141524,141532,0.0,Sl,ThreadPoolServi
1783535844,141524,141533,50.2,Sl,ThreadPoolForeg
1783535844,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535844,141524,141535,47.7,Sl,ThreadPoolForeg
1783535844,141524,141542,4.2,Sl,Compositor
1783535844,141524,141543,0.0,Sl,ThreadPoolSingl
1783535844,141524,141546,49.2,Sl,ThreadPoolForeg
1783535845,141524,141524,12.7,Sl,bg_engine
1783535845,141524,141525,0.0,Sl,HangWatcher
1783535845,141524,141531,0.0,Sl,PerfettoTrace
1783535845,141524,141532,0.0,Sl,ThreadPoolServi
1783535845,141524,141533,50.6,Sl,ThreadPoolForeg
1783535845,141524,141534,0.2,Sl,Chrome_ChildIOT
1783535845,141524,141535,47.9,Sl,ThreadPoolForeg
1783535845,141524,141542,4.2,Sl,Compositor
1783535845,141524,141543,0.0,Sl,ThreadPoolSingl
1783535845,141524,141546,49.5,Sl,ThreadPoolForeg
1783535846,141524,141524,12.5,Sl,bg_engine
1783535846,141524,141525,0.0,Sl,HangWatcher
1783535846,141524,141531,0.0,Sl,PerfettoTrace
1783535846,141524,141532,0.0,Sl,ThreadPoolServi
1783535846,141524,141533,50.0,Sl,ThreadPoolForeg
1783535846,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535846,141524,141535,47.5,Sl,ThreadPoolForeg
1783535846,141524,141542,4.3,Sl,Compositor
1783535846,141524,141543,0.0,Sl,ThreadPoolSingl
1783535846,141524,141546,49.0,Sl,ThreadPoolForeg
1783535847,141524,141524,12.7,Sl,bg_engine
1783535847,141524,141525,0.0,Sl,HangWatcher
1783535847,141524,141531,0.0,Sl,PerfettoTrace
1783535847,141524,141532,0.0,Sl,ThreadPoolServi
1783535847,141524,141533,50.1,Sl,ThreadPoolForeg
1783535847,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535847,141524,141535,47.5,Sl,ThreadPoolForeg
1783535847,141524,141542,4.2,Sl,Compositor
1783535847,141524,141543,0.0,Sl,ThreadPoolSingl
1783535847,141524,141546,49.1,Sl,ThreadPoolForeg
1783535848,141524,141524,12.7,Sl,bg_engine
1783535848,141524,141525,0.0,Sl,HangWatcher
1783535848,141524,141531,0.0,Sl,PerfettoTrace
1783535848,141524,141532,0.0,Sl,ThreadPoolServi
1783535848,141524,141533,50.5,Sl,ThreadPoolForeg
1783535848,141524,141534,0.1,Sl,Chrome_ChildIOT
1783535848,141524,141535,47.8,Sl,ThreadPoolForeg
1783535848,141524,141542,4.2,Sl,Compositor
1783535848,141524,141543,0.0,Sl,ThreadPoolSingl
